"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Bham Southern","41","41","41","41","--","--"
"2",2000,"Stanford","19.4","0.7","8","25.8","+13.1","+12.3"
"3",2000,"Tulsa","18.4","13","-3","24.3","+13.6","+6.3"
"4",2000,"Duke","17.5","17.7","13","24.2","+9.4","+24.7"
"5",2000,"Cincinnati","16.9","11.7","-10","21.5","+12.5","+12.7"
"6",2000,"Florida","16.6","-0.3","-8","29.3","+3.2","+10.1"
"7",2000,"Michigan St","15.1","11.3","15","25","+7.8","+12.2"
"8",2000,"Oklahoma St","14.7","4","-4","22.9","+5.9","+7.1"
"9",2000,"LSU","14.1","4.3","-2","18.5","+8.3","-2.5"
"10",2000,"Temple","13.8","15.7","21","17.4","+10.0","+8.1"
"11",2000,"Oklahoma","12.8","2.7","-12","17.9","+6.9","+8.3"
"12",2000,"Syracuse","12.7","-5.7","-4","18.7","+2.8","+8.2"
"13",2000,"Butler","12.7","12.3","19","21","+6.3","+3.5"
"14",2000,"Gonzaga","12.6","13.7","4","21.3","+7.4","+12.8"
"15",2000,"Iowa St","12.5","9.3","12","19.7","+3.7","-0.3"
"16",2000,"Hofstra","12.3","14.3","7","18.8","+7.9","+5.7"
"17",2000,"Tennessee","11.4","5.7","-7","19.2","+1.9","+7.6"
"18",2000,"Ohio St","11.3","3.7","-5","16.7","+3.0","+10.0"
"19",2000,"Texas","11.2","18.7","-16","18.7","+4.9","+3.5"
"20",2000,"Illinois","11","-0.7","-15","20.8","+1.3","-1.3"
"21",2000,"Central Conn","10.6","11.7","17","12.9","+8.6","+3.0"
"22",2000,"Navy","10.5","6","-26","13","+7.3","+7.0"
"23",2000,"Indiana","10.3","2.7","-3","16.7","+2.8","+5.9"
"24",2000,"Lg Beach St","10.2","4.7","-5","16.5","+5.1","-4.1"
"25",2000,"Connecticut","10.1","6.7","-10","16.2","+4.4","+15.9"
"26",2000,"Pepperdine","10","11","-4","16","+6.4","+1.3"
"27",2000,"Lafayette","9.7","19.3","26","15.7","+4.5","+4.5"
"28",2000,"Maryland","9.6","3.7","-13","15.8","+2.1","+17.1"
"29",2000,"Arizona","9.3","3","9","12.4","+5.9","+7.0"
"30",2000,"Samford","9.2","10.3","9","16.8","+5.2","+8.9"
"31",2000,"Kent St","9","6","-1","15","+4.5","+4.5"
"32",2000,"Utah","8.8","9.3","-4","19.7","-3.9","+15.2"
"33",2000,"Kansas","8.7","2","-19","12.1","+5.5","+7.1"
"34",2000,"UNLV","8.6","11","23","15","-4.9","+4.3"
"35",2000,"Delaware","8.2","8.3","-7","13.5","+3.2","+9.5"
"36",2000,"Col Charlestn","8","4","-12","13.7","+3.2","+12.6"
"37",2000,"Purdue","8","-3","-12","15.7","+0.7","+2.8"
"38",2000,"SE Missouri","7.9","10.3","11","10.7","+5.4","+4.8"
"39",2000,"St Johns","7.8","5.3","10","10.9","+4.0","+13.6"
"40",2000,"U Penn","7.5","20.3","21","12.3","+3.3","+10.4"
"41",2000,"Utah St","7.4","11","5","14.2","+2.0","+2.4"
"42",2000,"App State","7.4","12.7","12","12.6","+4.9","+4.8"
"43",2000,"Winthrop","7.3","26","13","16","+0.4","+2.9"
"44",2000,"DePaul","7.2","1.3","-7","13.6","+0.4","+1.2"
"45",2000,"Maine","7","5.7","-22","10.6","+4.9","+6.3"
