"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Bham Southern","0.696","0.696","0.696","0.696","--","--"
"2",2000,"Navy","0.82","0.776","1.028","0.78","0.872","0.829"
"3",2000,"Stanford","0.835","1.06","0.804","0.822","0.848","0.887"
"4",2000,"Tulsa","0.837","0.887","0.952","0.766","0.898","0.907"
"5",2000,"Oklahoma St","0.85","0.848","0.866","0.786","0.923","0.923"
"6",2000,"LSU","0.854","0.901","0.934","0.811","0.909","0.937"
"7",2000,"Pepperdine","0.857","0.806","0.984","0.822","0.879","0.912"
"8",2000,"Cincinnati","0.86","0.862","1.086","0.808","0.912","0.870"
"9",2000,"Temple","0.864","0.838","0.749","0.801","0.931","0.920"
"10",2000,"Central Conn","0.865","0.817","0.694","0.867","0.864","0.936"
"11",2000,"Illinois","0.867","1.005","1.138","0.79","0.949","0.897"
"12",2000,"Michigan St","0.872","0.91","0.914","0.822","0.908","0.903"
"13",2000,"Ohio St","0.873","1.049","1.035","0.805","0.979","0.900"
"14",2000,"Butler","0.876","0.777","0.720","0.788","0.949","0.904"
"15",2000,"Florida","0.878","0.994","0.972","0.78","0.995","0.918"
"16",2000,"Miami","0.879","0.902","0.892","0.845","0.918","0.870"
"17",2000,"NC-Wilmgton","0.882","0.898","0.937","0.846","0.907","0.973"
"18",2000,"Georgetown","0.882","1.052","1.062","0.815","0.957","0.879"
"19",2000,"Winthrop","0.885","0.791","0.960","0.857","0.907","0.946"
"20",2000,"SE Missouri","0.885","0.909","0.845","0.877","0.893","0.917"
"21",2000,"Lafayette","0.886","0.728","0.721","0.827","0.938","0.928"
"22",2000,"NC State","0.887","0.902","0.964","0.84","0.978","0.937"
"23",2000,"Iowa St","0.888","0.868","0.875","0.86","0.922","0.953"
"24",2000,"Princeton","0.892","0.967","1.233","0.826","0.942","0.912"
"25",2000,"Hofstra","0.893","0.889","0.975","0.847","0.923","0.904"
"26",2000,"Wisconsin","0.894","0.888","1.009","0.838","0.940","0.888"
"27",2000,"Arizona","0.895","1.017","0.823","0.906","0.882","0.969"
"28",2000,"Col Charlestn","0.895","0.888","0.996","0.843","0.941","0.875"
"29",2000,"San Diego","0.895","0.943","1.227","0.867","0.915","0.942"
"30",2000,"Syracuse","0.895","1.077","1.061","0.845","0.977","0.874"
"31",2000,"Bucknell","0.896","1.006","1.124","0.857","0.920","0.872"
"32",2000,"Maryland","0.897","0.938","1.135","0.847","0.960","0.855"
"33",2000,"Kansas","0.899","0.963","1.037","0.878","0.919","0.885"
"34",2000,"Auburn","0.901","0.967","1.094","0.802","1.018","0.834"
"35",2000,"Oklahoma","0.902","0.995","1.056","0.867","0.942","0.883"
"36",2000,"Texas","0.903","0.86","1.191","0.803","0.995","0.917"
"37",2000,"Tennessee","0.905","0.96","1.071","0.86","0.963","0.883"
"38",2000,"Indiana","0.907","0.941","0.913","0.848","0.980","0.940"
"39",2000,"U Penn","0.908","0.849","0.878","0.887","0.926","0.912"
"40",2000,"Kentucky","0.908","0.999","1.102","0.853","0.954","0.882"
"41",2000,"Tulane","0.909","0.986","1.028","0.893","0.926","0.965"
"42",2000,"Gonzaga","0.909","0.89","0.927","0.883","0.926","0.919"
"43",2000,"S Illinois","0.91","0.944","1.007","0.814","0.977","0.905"
"44",2000,"Louisville","0.91","0.921","0.906","0.934","0.885","0.944"
"45",2000,"San Francisco","0.912","0.964","0.897","0.871","0.955","0.979"
"46",2000,"Saint Louis","0.913","0.812","0.800","0.89","0.938","0.924"
"47",2000,"Providence","0.914","1.053","1.174","0.872","0.965","0.979"
"48",2000,"Holy Cross","0.915","0.898","0.925","0.937","0.898","0.992"
"49",2000,"Indiana St","0.915","0.951","1.152","0.866","0.950","0.969"
"50",2000,"UCSB","0.916","0.981","1.090","0.861","0.959","0.968"
"51",2000,"Duke","0.916","0.939","0.953","0.882","0.959","0.866"
"52",2000,"U Mass","0.916","0.863","1.003","0.882","0.938","0.938"
"53",2000,"American","0.916","0.873","0.987","0.881","0.943","0.947"
"54",2000,"Louisiana","0.916","0.787","0.832","0.91","0.921","0.949"
"55",2000,"Kent St","0.917","1.047","1.086","0.836","0.978","0.922"
"56",2000,"Sam Hous St","0.918","0.915","1.020","0.877","0.939","0.996"
"57",2000,"DePaul","0.918","0.951","0.914","0.893","0.944","1.010"
"58",2000,"BYU","0.919","0.96","1.182","0.857","0.970","1.007"
"59",2000,"UL Monroe","0.919","0.962","0.971","0.862","0.969","0.955"
"60",2000,"Utah St","0.922","0.862","0.989","0.89","0.948","0.973"
"61",2000,"UNLV","0.922","0.975","0.838","0.858","1.058","0.950"
"62",2000,"Boise St","0.923","0.928","1.087","0.895","0.952","0.915"
"63",2000,"Arkansas","0.923","0.935","0.978","0.876","0.969","0.952"
"64",2000,"NW State","0.923","0.992","1.068","0.871","0.964","0.946"
"65",2000,"Liberty","0.924","0.988","1.006","0.888","0.948","1.113"
"66",2000,"Colgate","0.924","1.004","0.971","0.906","0.934","0.921"
"67",2000,"Purdue","0.925","1.053","1.123","0.876","0.973","0.950"
"68",2000,"F Dickinson","0.927","0.981","1.035","0.893","0.953","0.989"
"69",2000,"Bradley","0.927","0.954","1.037","0.857","0.990","0.913"
"70",2000,"Connecticut","0.928","1.008","1.216","0.868","0.986","0.848"
"71",2000,"Delaware","0.928","0.917","1.073","0.897","0.957","0.914"
"72",2000,"VA Tech","0.928","0.897","1.223","0.903","0.946","0.959"
"73",2000,"App State","0.928","0.874","0.820","0.943","0.921","0.930"
"74",2000,"Seton Hall","0.931","1.028","1.202","0.893","0.979","0.943"
"75",2000,"Nicholls","0.932","0.862","0.759","0.941","0.926","0.929"
"76",2000,"S Methodist","0.932","1.041","1.108","0.939","0.926","1.009"
"77",2000,"Lamar","0.933","0.923","0.947","0.864","0.989","0.931"
"78",2000,"Rob Morris","0.934","0.878","0.950","0.88","0.968","0.924"
"79",2000,"Maryland BC","0.934","0.889","0.931","0.955","0.922","0.906"
"80",2000,"Memphis","0.936","0.95","1.157","0.901","0.983","0.958"
"81",2000,"Oregon","0.937","1.009","0.957","0.915","0.960","0.953"
"82",2000,"St Bonavent","0.937","0.946","1.106","0.93","0.943","0.921"
"83",2000,"S Florida","0.938","1.021","0.842","0.886","0.979","0.897"
"84",2000,"St Johns","0.938","0.991","1.064","0.928","0.950","0.895"
"85",2000,"Lg Beach St","0.94","1.137","1.096","0.888","0.982","0.994"
"86",2000,"Charlotte","0.941","0.949","0.936","0.86","0.988","0.954"
"87",2000,"Alab A&M","0.941","0.817","0.807","0.922","0.955","0.984"
"88",2000,"Hampton","0.943","0.885","0.858","0.971","0.923","0.997"
"89",2000,"Ohio","0.943","0.935","0.986","0.893","0.977","0.934"
"90",2000,"Army","0.944","0.877","0.946","0.949","0.941","1.027"
"91",2000,"S Mississippi","0.945","0.963","0.861","0.979","0.920","0.924"
"92",2000,"Missouri St","0.945","0.895","0.982","0.906","0.982","0.921"
"93",2000,"Santa Clara","0.945","0.787","0.869","0.864","1.014","1.011"
"94",2000,"Virginia","0.945","1.049","1.022","0.911","0.974","0.994"
"95",2000,"WI-Grn Bay","0.946","0.993","0.975","0.892","0.996","0.933"
"96",2000,"New Orleans","0.947","1.126","1.011","0.94","0.953","0.959"
"97",2000,"TX Southern","0.948","0.849","0.964","0.937","0.953","0.985"
"98",2000,"Wagner","0.948","0.856","0.907","0.93","0.959","0.980"
"99",2000,"Monmouth","0.949","0.945","1.172","0.931","0.963","1.015"
"100",2000,"Boston Col","0.951","0.9","1.104","0.934","0.968","0.998"
"101",2000,"Villanova","0.951","0.961","1.103","0.928","0.972","0.980"
"102",2000,"N Illinois","0.951","0.936","0.842","0.922","0.970","0.966"
"103",2000,"NC A&T","0.952","1.049","1.123","0.85","0.995","1.013"
"104",2000,"James Mad","0.952","1.003","1.143","0.921","0.978","0.940"
"105",2000,"Missouri","0.953","0.921","1.027","0.901","1.021","0.871"
"106",2000,"Toledo","0.953","0.896","0.882","0.954","0.952","0.909"
"107",2000,"Ball St","0.953","0.943","1.038","0.948","0.958","0.944"
"108",2000,"Richmond","0.954","0.972","1.136","0.942","0.966","0.993"
"109",2000,"UCLA","0.954","0.93","0.781","0.874","1.046","0.906"
"110",2000,"Xavier","0.955","0.919","1.038","0.894","1.002","0.922"
"111",2000,"Siena","0.955","1","0.991","0.95","0.961","0.999"
"112",2000,"N Mex State","0.956","0.952","1.064","0.906","0.999","0.976"
"113",2000,"Utah","0.956","0.944","0.940","0.896","1.026","0.874"
"114",2000,"San Jose St","0.956","1.046","1.046","0.848","1.036","1.006"
"115",2000,"S Alabama","0.957","0.909","0.849","0.887","1.017","0.967"
"116",2000,"Marquette","0.957","1.097","1.189","0.868","1.070","0.948"
"117",2000,"Pittsburgh","0.957","0.949","0.910","0.956","0.959","0.960"
"118",2000,"Coppin St","0.958","0.903","1.045","0.933","0.973","0.942"
"119",2000,"Marist","0.959","0.986","1.170","0.892","1.008","0.998"
"120",2000,"New Mexico","0.959","0.875","1.003","0.912","1.036","0.972"
"121",2000,"Evansville","0.959","1.094","1.075","0.916","1.003","1.020"
"122",2000,"Iona","0.959","0.889","0.943","0.948","0.967","0.948"
"123",2000,"Vanderbilt","0.959","1.006","1.131","0.947","0.978","0.977"
"124",2000,"Cleveland St","0.96","0.977","0.937","0.874","1.038","1.033"
"125",2000,"Drake","0.96","1.088","1.079","0.893","1.020","1.013"
"126",2000,"E Michigan","0.961","0.981","1.074","0.963","0.960","0.985"
"127",2000,"Geo Mason","0.961","0.904","1.139","0.932","0.983","0.933"
"128",2000,"Baylor","0.961","0.997","1.095","0.898","1.064","0.973"
"129",2000,"Colorado","0.962","0.873","1.061","0.913","1.004","0.916"
"130",2000,"Maine","0.962","0.86","1.093","0.986","0.948","0.942"
"131",2000,"Manhattan","0.962","1.015","0.969","0.952","0.970","0.973"
"132",2000,"Beth-Cook","0.962","1.016","1.166","0.837","1.026","1.000"
"133",2000,"LIU-Brooklyn","0.963","0.925","0.926","0.933","0.980","0.954"
"134",2000,"USC","0.963","0.968","0.872","0.897","1.023","0.928"
"135",2000,"Dayton","0.963","0.959","0.844","0.95","0.975","0.951"
"136",2000,"Towson","0.963","0.979","1.050","0.957","0.966","1.028"
"137",2000,"UAB","0.963","1","1.117","0.922","1.006","0.945"
"138",2000,"Rutgers","0.963","1.153","1.123","0.911","1.014","0.939"
"139",2000,"VCU","0.964","1.009","0.954","0.928","1.012","0.966"
"140",2000,"N Iowa","0.965","0.985","1.047","0.966","0.963","1.019"
"141",2000,"Columbia","0.966","0.94","0.962","0.961","0.968","0.999"
"142",2000,"Wake Forest","0.966","0.967","0.927","0.95","0.978","0.958"
"143",2000,"Creighton","0.967","0.936","0.775","0.958","0.974","0.973"
"144",2000,"Quinnipiac","0.968","1.031","0.837","0.911","1.012","1.020"
"145",2000,"Jksnville St","0.968","1.525","--","1.015","0.918","0.986"
"146",2000,"Kansas City","0.969","0.969","1.007","0.908","1.011","1.043"
"147",2000,"E Carolina","0.97","1.054","1.052","0.937","0.995","0.962"
"148",2000,"GA Tech","0.97","1.01","0.928","0.915","1.034","0.974"
"149",2000,"Old Dominion","0.97","0.988","1.082","0.942","0.992","0.900"
"150",2000,"Yale","0.97","1.038","1.170","0.919","1.007","1.085"
"151",2000,"Mississippi","0.971","1","1.117","0.91","1.034","0.897"
"152",2000,"UTSA","0.971","1.064","1.168","0.995","0.954","0.998"
"153",2000,"Miss Val St","0.972","0.989","1.016","0.873","1.018","0.958"
"154",2000,"LA Tech","0.973","1.062","1.085","0.88","1.035","0.964"
"155",2000,"Wichita St","0.974","0.976","0.930","0.933","1.024","1.008"
"156",2000,"S Carolina","0.974","0.953","1.018","0.907","1.044","1.013"
"157",2000,"Notre Dame","0.975","0.874","0.942","0.972","0.979","0.991"
