"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Temple","14","13.7","13","13.4","14.5","15.1"
"2",2000,"Campbell","14.6","10.3","0","16.2","13.1","18.0"
"3",2000,"Arizona","14.6","16.7","13","13.9","15.5","18.0"
"4",2000,"Chattanooga","15.4","17.3","18","13.9","16.5","16.7"
"5",2000,"LIU-Brooklyn","15.5","16.3","15","15.1","15.7","19.6"
"6",2000,"Iowa St","15.6","13.3","12","14.8","16.6","16.0"
"7",2000,"Troy","15.6","10.3","0","15","16.1","21.2"
"8",2000,"Alabama St","15.8","17.7","19","17.2","14.7","18.0"
"9",2000,"Syracuse","15.8","16.7","21","15.4","16.4","17.9"
"10",2000,"Richmond","15.8","16","17","15","16.5","15.9"
"11",2000,"Butler","15.8","16","12","14.8","16.6","17.3"
"12",2000,"Samford","15.9","11.3","16","15.7","16.0","16.7"
"13",2000,"Princeton","15.9","16","15","15.4","16.3","14.6"
"14",2000,"Pittsburgh","15.9","16.7","23","15.8","16.2","18.5"
"15",2000,"Maine","16","14.3","14","15.6","16.2","19.4"
"16",2000,"Missouri St","16","14.3","13","14.4","17.6","17.2"
"17",2000,"La Salle","16","16.3","18","15.7","16.2","17.5"
"18",2000,"St Johns","16.1","15","15","15.1","17.3","16.6"
"19",2000,"Austin Peay","16.2","18.3","24","14.7","17.4","17.5"
"20",2000,"LSU","16.2","18.7","16","16.1","16.3","18.3"
"21",2000,"U Penn","16.3","14","14","15.2","17.2","16.0"
"22",2000,"N Carolina","16.3","16.7","15","16","16.5","14.9"
"23",2000,"Mercer","16.3","12.7","21","16.4","16.2","18.1"
"24",2000,"Duke","16.3","15","15","15.5","17.4","18.3"
"25",2000,"Valparaiso","16.3","16.3","14","17.4","15.9","17.9"
"26",2000,"St Fran (PA)","16.4","12.7","15","15.7","17.0","19.5"
"27",2000,"Bowling Grn","16.5","15.3","12","15.6","17.0","20.0"
"28",2000,"Col Charlestn","16.5","17.7","20","16.1","16.9","16.6"
"29",2000,"Jksnville St","16.5","11","0","15.2","18.1","18.2"
"30",2000,"Stanford","16.6","17.7","18","16.3","16.9","16.6"
"31",2000,"S Carolina","16.6","14","18","16","17.2","15.7"
"32",2000,"Chicago St","16.6","18","16","16.1","17.0","18.6"
"33",2000,"High Point","16.6","19","22","14.5","17.6","17.3"
"34",2000,"Florida St","16.7","17","17","16.6","16.7","19.8"
"35",2000,"Kentucky","16.7","20.3","25","14.1","18.9","16.9"
"36",2000,"Murray St","16.7","17.3","19","16.7","16.7","17.5"
"37",2000,"Idaho","16.8","18.3","20","16.3","17.1","19.4"
"38",2000,"Lamar","16.9","15.7","15","16.5","17.2","20.2"
"39",2000,"Evansville","16.9","18.7","21","15.9","17.9","18.0"
"40",2000,"Notre Dame","17","17.3","11","15.7","18.4","17.8"
"41",2000,"Baylor","17","16","17","16.4","17.9","20.8"
"42",2000,"Georgia","17.1","17.3","20","14.3","19.6","19.2"
"43",2000,"Oklahoma St","17.1","20.7","28","16.5","17.6","17.2"
"44",2000,"Texas Tech","17.1","23","16","17.2","16.9","18.0"
"45",2000,"Connecticut","17.1","18","19","16.2","18.0","16.7"
"46",2000,"Cincinnati","17.1","18.3","21","15.9","18.3","18.6"
"47",2000,"Utah St","17.1","16.7","12","16.9","17.3","16.4"
"48",2000,"Indiana St","17.2","18.3","23","15.9","18.1","17.4"
"49",2000,"N Iowa","17.2","15.7","17","15.8","18.5","17.6"
"50",2000,"Columbia","17.2","17.7","19","17.2","17.2","19.0"
"51",2000,"GA Tech","17.2","20.3","22","16.3","18.2","16.4"
