"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Louisiana",33,3,1,14,19,29
"2",2000,"Fresno St",33,3,1,19,14,32
"3",2000,"Connecticut",33,3,1,16,17,36
"4",2000,"Maryland",33,3,1,18,15,33
"5",2000,"Michigan St",33,3,1,14,19,38
"6",2000,"Tulsa",33,3,1,15,18,33
"7",2000,"Arkansas",33,3,1,16,17,34
"8",2000,"Ohio",33,3,1,13,20,27
"9",2000,"S Car State",33,3,1,12,21,28
"10",2000,"Notre Dame",32,3,1,17,15,29
"11",2000,"Charlotte",32,3,1,12,20,34
"12",2000,"S Carolina",32,3,1,16,16,29
"13",2000,"Pepperdine",32,3,1,12,20,30
"14",2000,"Oklahoma",32,3,1,17,15,32
"15",2000,"Gonzaga",32,3,1,12,20,34
"16",2000,"Creighton",32,3,1,13,19,31
"17",2000,"Wake Forest",32,3,1,14,18,31
"18",2000,"Saint Louis",32,3,1,16,16,31
"19",2000,"Arizona",32,3,1,17,15,29
"20",2000,"Missouri St",32,3,1,16,16,33
"21",2000,"Auburn",31,3,1,17,14,33
"22",2000,"Cincinnati",31,3,1,15,16,33
"23",2000,"Mercer",31,3,1,10,21,24
"24",2000,"Iowa St",31,3,1,17,14,29
"25",2000,"Wisconsin",31,3,1,14,17,32
"26",2000,"TX Christian",31,3,1,17,14,31
"27",2000,"Delaware",31,3,1,15,16,31
"28",2000,"Georgia",31,3,1,15,16,30
"29",2000,"Duke",31,3,1,17,14,39
"30",2000,"Indiana St",31,3,1,13,18,28
"31",2000,"Toledo",31,3,1,11,20,26
"32",2000,"Villanova",31,3,1,15,16,31
"33",2000,"Jackson St",31,3,1,10,21,27
"34",2000,"S Illinois",31,3,1,13,18,27
"35",2000,"N Carolina",31,3,1,14,17,34
"36",2000,"St Johns",31,3,1,17,14,37
"37",2000,"VA Tech",31,3,1,13,18,28
"38",2000,"Murray St",31,3,1,12,19,32
"39",2000,"DePaul",31,3,1,16,15,31
"40",2000,"Georgetown",31,3,1,16,15,30
"41",2000,"Siena",31,3,1,17,14,31
"42",2000,"UNLV",31,3,1,21,10,28
"43",2000,"Kansas",31,3,1,15,16,32
"44",2000,"Miami",31,3,1,16,15,30
"45",2000,"U Mass",31,3,1,12,19,30
"46",2000,"Texas",31,3,1,14,17,32
"47",2000,"WI-Grn Bay",31,3,1,15,16,29
"48",2000,"Florida",31,3,1,16,15,31
"49",2000,"Temple",31,3,1,16,15,35
"50",2000,"Tulane",31,3,1,16,15,27
"51",2000,"Coppin St",30,3,1,11,19,29
"52",2000,"Missouri",30,3,1,17,13,29
"53",2000,"Rutgers",30,3,1,15,15,32
"54",2000,"Drexel",30,3,1,10,20,29
"55",2000,"Mississippi",30,3,1,15,15,32
"56",2000,"USC",30,3,1,14,16,28
"57",2000,"Vanderbilt",30,3,1,18,12,29
"58",2000,"Xavier",30,3,1,13,17,36
"59",2000,"Clemson",30,3,1,19,11,34
"60",2000,"N Mex State",30,3,1,14,16,30
"61",2000,"Lamar",30,3,1,13,17,26
"62",2000,"GA Tech",30,3,1,16,14,31
"63",2000,"Northwestern",30,3,1,17,13,29
"64",2000,"Rider",30,3,1,12,18,28
"65",2000,"Nebraska",30,3,1,16,14,33
"66",2000,"Miss State",30,3,1,14,16,32
"67",2000,"Hofstra",30,3,1,12,18,31
"68",2000,"Geo Wshgtn",30,3,1,13,17,29
"69",2000,"Bradley",30,3,1,14,16,29
"70",2000,"Illinois",30,3,1,15,15,32
"71",2000,"Canisius",30,3,1,14,16,27
"72",2000,"Memphis",30,3,1,17,13,28
"73",2000,"Miami (OH)",30,3,1,12,18,32
"74",2000,"Maine",30,3,1,11,19,27
"75",2000,"IL-Chicago",30,3,1,16,14,27
"76",2000,"UCLA",30,3,1,16,14,31
"77",2000,"St Bonavent",30,3,1,13,17,29
"78",2000,"Kentucky",30,3,1,14,16,37
"79",2000,"Houston",30,3,1,13,17,27
"80",2000,"Geo Mason",30,3,1,13,17,29
"81",2000,"Colorado",30,3,1,14,16,31
"82",2000,"Butler",30,3,1,13,17,32
"83",2000,"Rhode Island",30,3,1,11,19,33
"84",2000,"Boston Col",30,3,1,15,15,27
"85",2000,"Detroit",30,3,1,13,17,30
"86",2000,"California",30,3,1,17,13,33
"87",2000,"Dayton",30,3,1,15,15,28
"88",2000,"Virginia",30,3,1,13,17,30
"89",2000,"Penn St",30,3,1,14,16,27
"90",2000,"Iona",30,3,1,12,18,29
"91",2000,"Florida A&M",30,3,1,12,18,31
"92",2000,"LSU",30,3,1,17,13,27
"93",2000,"Old Dominion",30,3,1,13,17,33
"94",2000,"Central Conn",30,3,1,14,16,31
"95",2000,"Santa Clara",30,3,1,14,16,29
"96",2000,"Iowa",30,3,1,13,17,30
"97",2000,"Richmond",30,3,1,15,15,27
"98",2000,"S Alabama",30,3,1,14,16,28
"99",2000,"NC State",30,3,1,20,10,33
"100",2000,"Evansville",30,3,1,15,15,31
"101",2000,"S Florida",30,3,1,14,16,28
"102",2000,"St Josephs",29,3,1,12,17,30
"103",2000,"NC-Wilmgton",29,3,1,12,17,28
"104",2000,"Florida Intl",29,3,1,17,12,29
"105",2000,"Seton Hall",29,3,1,16,13,29
"106",2000,"Washington",29,3,1,13,16,28
"107",2000,"Providence",29,3,1,16,13,30
"108",2000,"Louisville",29,3,1,15,14,30
"109",2000,"Georgia St",29,3,1,14,15,29
"110",2000,"BYU",29,3,1,13,16,27
"111",2000,"Texas A&M",29,3,1,13,16,27
"112",2000,"Ball St",29,3,1,13,16,26
"113",2000,"Fordham",29,3,1,14,15,27
