"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Bham Southern","1.291","1.291","1.291","1.291","--","--"
"2",2000,"TN Tech","1.15","1.041","0.948","1.193","1.110","0.936"
"3",2000,"Duke","1.141","1.183","1.135","1.189","1.081","1.184"
"4",2000,"Samford","1.132","1.911","1.281","1.119","1.139","1.127"
"5",2000,"Troy","1.121","1.458","--","1.148","1.099","0.963"
"6",2000,"Bowling Grn","1.118","1.044","0.904","1.134","1.107","0.993"
"7",2000,"Murray St","1.105","1.064","0.845","1.139","1.083","1.071"
"8",2000,"Stanford","1.103","1.069","0.916","1.177","1.029","1.065"
"9",2000,"Cincinnati","1.095","1.038","0.926","1.096","1.093","1.050"
"10",2000,"Michigan St","1.093","1.09","1.138","1.186","1.023","1.089"
"11",2000,"Florida","1.092","0.989","0.873","1.137","1.039","1.049"
"12",2000,"Utah","1.089","1.086","0.875","1.193","0.965","1.112"
"13",2000,"TX Christian","1.088","1.031","0.904","1.131","1.032","1.087"
"14",2000,"Marshall","1.088","1.023","0.983","1.128","1.054","1.046"
"15",2000,"Oklahoma","1.086","1.032","0.875","1.122","1.044","1.002"
"16",2000,"Gonzaga","1.085","1.089","0.984","1.175","1.029","1.099"
"17",2000,"Tulsa","1.083","1.063","0.914","1.085","1.081","0.996"
"18",2000,"Temple","1.082","1.113","1.106","1.078","1.088","1.047"
"19",2000,"Lg Beach St","1.078","1.197","1.034","1.112","1.050","0.937"
"20",2000,"Butler","1.077","0.967","1.039","1.109","1.051","0.956"
"21",2000,"Montana","1.076","1.022","0.893","1.03","1.141","1.079"
"22",2000,"Chattanooga","1.076","0.892","0.873","1.047","1.099","1.015"
"23",2000,"Syracuse","1.074","0.992","1.005","1.109","1.017","0.987"
"24",2000,"N Carolina","1.074","0.941","0.832","1.108","1.046","1.041"
"25",2000,"Hawaii","1.074","1.06","1.119","1.136","0.972","0.919"
"26",2000,"Connecticut","1.071","1.109","1.064","1.094","1.049","1.068"
"27",2000,"Fresno St","1.07","1.066","0.952","1.08","1.056","1.043"
"28",2000,"Hofstra","1.069","1.099","1.073","1.118","1.036","0.989"
"29",2000,"Creighton","1.069","1.058","0.982","1.142","1.017","1.078"
"30",2000,"Georgia St","1.068","1.688","1.226","0.969","1.171","1.023"
"31",2000,"Dayton","1.062","0.881","0.754","1.127","0.996","0.948"
"32",2000,"Texas","1.061","1.118","0.956","1.052","1.070","0.967"
"33",2000,"Maine","1.06","0.939","0.739","1.133","1.016","1.024"
"34",2000,"Iowa St","1.059","0.999","1.056","1.13","0.973","0.948"
"35",2000,"LA Tech","1.059","1.011","0.862","1.058","1.059","1.036"
"36",2000,"Austin Peay","1.056","1.071","1.006","1.08","1.039","1.005"
"37",2000,"Tennessee","1.055","1.039","0.971","1.109","0.988","0.986"
"38",2000,"GA Southern","1.054","1.014","0.832","1.158","0.982","0.905"
"39",2000,"Oklahoma St","1.054","0.903","0.815","1.095","1.007","1.027"
"40",2000,"Weber St","1.054","0.998","0.960","1.11","1.007","1.065"
"41",2000,"TX El Paso","1.051","0.881","0.961","1.112","0.953","1.032"
"42",2000,"St Johns","1.049","1.071","1.216","1.084","1.006","1.082"
"43",2000,"E Illinois","1.048","1.162","1.040","1.068","1.033","0.999"
"44",2000,"Colorado St","1.046","0.902","0.996","1.118","0.997","1.004"
"45",2000,"LSU","1.045","0.963","0.907","1.066","1.020","0.902"
"46",2000,"Arizona St","1.044","0.995","0.804","1.035","1.055","0.989"
"47",2000,"Indiana","1.043","0.98","0.875","1.063","1.018","1.019"
"48",2000,"Valparaiso","1.043","1.07","1.127","1.006","1.063","1.046"
"49",2000,"Kent St","1.042","1.14","1.071","1.042","1.042","0.987"
"50",2000,"Detroit","1.04","0.964","0.720","1.133","0.969","1.054"
"51",2000,"Delaware","1.038","1.037","0.975","1.079","1.001","1.042"
"52",2000,"Campbell","1.038","1.636","--","0.975","1.107","0.950"
"53",2000,"Morehead St","1.037","1.023","1.212","1.114","0.982","0.986"
"54",2000,"Wake Forest","1.037","1.024","1.131","1.138","0.965","0.983"
"55",2000,"Purdue","1.037","1.012","0.950","1.091","0.984","0.991"
"56",2000,"Ohio St","1.034","1.102","0.962","1.043","1.021","1.039"
"57",2000,"USC","1.034","1.079","1.135","1.033","1.035","0.975"
"58",2000,"Utah St","1.033","1.029","1.064","1.099","0.978","1.008"
"59",2000,"Wyoming","1.032","1.093","1.132","1.093","0.982","0.992"
"60",2000,"Middle Tenn","1.031","1.113","0.860","1.066","1.001","0.973"
"61",2000,"Vanderbilt","1.03","0.991","0.927","1.112","0.908","0.984"
"62",2000,"Siena","1.029","1.037","0.943","1.066","0.985","1.086"
"63",2000,"Miss State","1.029","1.018","0.842","1.102","0.963","0.977"
"64",2000,"UNLV","1.029","1.121","1.182","1.044","0.997","1.008"
"65",2000,"App State","1.028","1.06","0.996","1.106","0.989","0.997"
"66",2000,"Xavier","1.028","1.105","0.995","1.092","0.978","1.045"
"67",2000,"Virginia","1.027","0.989","0.874","1.095","0.972","0.981"
"68",2000,"S Methodist","1.026","0.988","1.044","1.09","0.965","1.000"
"69",2000,"N Arizona","1.026","1.112","1.156","1.076","0.992","1.102"
"70",2000,"Miami (OH)","1.026","1.017","1.038","1.053","1.006","1.040"
"71",2000,"Oregon","1.025","1.123","1.222","1.062","0.988","0.985"
"72",2000,"Maryland","1.025","0.989","0.953","1.055","0.989","1.072"
"73",2000,"Ball St","1.024","0.978","1.091","1.062","0.992","0.947"
"74",2000,"N Mex State","1.023","1.04","0.989","1.082","0.971","1.021"
"75",2000,"UCLA","1.023","1.078","1.099","0.996","1.053","0.988"
"76",2000,"Cal St Nrdge","1.022","1.059","1.101","1.046","1.005","1.012"
"77",2000,"Geo Wshgtn","1.022","0.995","0.942","1.052","0.998","1.020"
"78",2000,"U Penn","1.022","1.162","1.233","1.072","0.977","1.069"
"79",2000,"Akron","1.022","0.965","1.051","1.068","0.980","1.053"
"80",2000,"DePaul","1.021","0.972","0.800","1.087","0.950","1.027"
"81",2000,"Missouri","1.02","1.041","0.978","1.037","0.998","0.988"
"82",2000,"Montana St","1.02","0.977","0.900","1.089","0.976","1.042"
"83",2000,"Radford","1.02","0.956","0.954","1.02","1.019","1.020"
"84",2000,"Cal Poly","1.019","1.119","1.163","1.035","1.002","1.028"
"85",2000,"Lafayette","1.019","0.983","1.028","1.04","1.001","0.991"
