"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"UTSA","16.2","17.7","15","15.6","16.5","10.4"
"2",2000,"Miss Val St","15.9","17","16","15.6","16.0","14.6"
"3",2000,"S Methodist","15.8","17.7","15","16.6","15.0","15.0"
"4",2000,"S Car State","15.1","17.3","21","13.3","16.2","15.0"
"5",2000,"Kansas","15.1","12","12","15.2","15.0","11.9"
"6",2000,"Georgetown","14.7","12.3","14","15.4","14.0","16.1"
"7",2000,"Alab A&M","14.7","15.7","15","16.5","13.2","14.4"
"8",2000,"Geo Wshgtn","14.5","13.3","17","13.6","15.2","14.8"
"9",2000,"Fairfield","14.4","16.3","19","13.8","14.8","14.0"
"10",2000,"Stetson","14.4","12.3","12","15","14.1","12.5"
"11",2000,"Xavier","14.2","13.7","11","14","14.4","11.4"
"12",2000,"DePaul","14.2","14.7","11","13.8","14.7","15.5"
"13",2000,"Norfolk St","13.9","11.7","9","14.6","13.5","12.6"
"14",2000,"Providence","13.6","14.7","20","13","14.4","13.0"
"15",2000,"E Kentucky","13.6","13","10","14.1","13.1","10.7"
"16",2000,"TX Christian","13.5","12.7","12","15.2","11.5","11.4"
"17",2000,"Tennessee","13.4","13","16","13.9","12.8","11.8"
"18",2000,"Central Conn","13.4","14","12","13.2","13.6","12.4"
"19",2000,"Louisiana","13.3","8","7","14.2","12.7","14.1"
"20",2000,"Nebraska","13.3","14.7","17","13.6","12.9","10.4"
"21",2000,"UNLV","13.3","11.7","13","13.6","12.6","11.4"
"22",2000,"VCU","13.3","11.7","9","12.4","14.4","12.5"
"23",2000,"Auburn","13.2","13.3","12","14","12.3","17.3"
"24",2000,"Liberty","13.1","13.7","13","13.5","12.9","9.6"
"25",2000,"Dayton","13","10.3","7","14.3","11.8","12.1"
"26",2000,"E Michigan","13","11.7","9","13.1","12.9","12.7"
"27",2000,"Air Force","13","10","11","13.8","12.3","15.1"
"28",2000,"UAB","12.9","8.3","13","13.1","12.8","12.6"
"29",2000,"Marquette","12.9","14.3","6","14.5","10.9","11.4"
"30",2000,"Colorado","12.9","12.3","12","14.9","11.2","11.3"
"31",2000,"Arizona St","12.9","9.7","12","13.4","12.2","11.0"
"32",2000,"Cleveland St","12.9","11.3","15","13.8","12.0","11.8"
"33",2000,"Memphis","12.8","11.3","17","13.3","12.2","12.0"
"34",2000,"Temple","12.8","11.7","11","14","11.5","12.9"
"35",2000,"Iona","12.8","9.7","8","15.1","11.2","12.6"
"36",2000,"Connecticut","12.8","12.3","10","13.9","11.7","12.2"
"37",2000,"Navy","12.7","11","9","13.2","12.2","14.1"
"38",2000,"Kentucky","12.7","12.7","14","13.1","12.4","12.2"
"39",2000,"TX-Arlington","12.7","8.7","16","13","12.5","10.8"
"40",2000,"Florida A&M","12.7","15","12","13.4","12.2","14.4"
"41",2000,"Siena","12.6","14.7","17","12.6","12.6","12.0"
"42",2000,"Miami","12.6","11.3","10","13.3","11.9","11.3"
"43",2000,"Vermont","12.6","10.3","8","13","12.4","12.2"
"44",2000,"Prairie View","12.6","11.7","12","15.7","10.9","16.4"
"45",2000,"Florida","12.6","14.3","12","13.2","12.0","9.8"
"46",2000,"Michigan St","12.6","7.7","10","13.5","11.9","13.4"
"47",2000,"NW State","12.6","13.7","13","14.1","11.4","12.2"
"48",2000,"N Mex State","12.5","11.3","13","12.9","12.2","10.4"
"49",2000,"TX A&M-CC","12.5","13.3","13","13.4","11.8","--"
"50",2000,"North Texas","12.4","12.3","25","11.7","13.0","13.0"
"51",2000,"American","12.4","10.3","6","13","11.9","14.2"
"52",2000,"UCLA","12.4","12.7","15","11.9","12.9","13.4"
"53",2000,"NC State","12.4","7.7","10","12.4","12.4","11.6"
"54",2000,"Wake Forest","12.3","7.3","8","12.4","12.3","9.1"
"55",2000,"GA Tech","12.3","11","9","11.9","12.9","10.7"
"56",2000,"Syracuse","12.3","14.3","20","12.8","11.5","12.7"
"57",2000,"Niagara","12.3","14.7","16","13.3","11.6","14.2"
"58",2000,"Wyoming","12.3","13","11","11.3","13.1","13.6"
"59",2000,"Tulane","12.2","10.7","8","11.3","13.2","12.9"
"60",2000,"GA Southern","12.2","13.3","13","13.5","11.3","11.7"
"61",2000,"NC A&T","12.2","16","23","11.5","12.5","11.8"
"62",2000,"W Virginia","12.1","10.7","9","12.1","12.2","12.8"
"63",2000,"St Bonavent","12.1","8.3","11","13","11.5","13.0"
"64",2000,"Alcorn St","12.1","13","16","14.3","11.0","15.6"
"65",2000,"UL Monroe","12.1","10.7","15","12.6","11.6","12.5"
"66",2000,"Purdue","12.1","12.7","10","12.5","11.7","10.9"
"67",2000,"Denver","12","12.7","15","12.9","11.1","9.6"
"68",2000,"Seton Hall","12","9.7","11","13.4","10.4","11.4"
"69",2000,"Jackson St","12","13.3","15","12.2","12.0","12.9"
"70",2000,"Duquesne","12","12.3","13","14.3","10.1","12.6"
"71",2000,"Kansas St","12","11.7","15","12.6","11.3","12.1"
"72",2000,"Boston Col","12","13.3","11","12.4","11.6","10.0"
"73",2000,"Minnesota","12","11.7","11","12.4","11.5","10.6"
"74",2000,"LSU","12","8.7","7","13.1","10.6","11.1"
"75",2000,"N Illinois","12","10.3","12","12.6","11.6","10.0"
"76",2000,"Miss State","12","11","11","12.3","11.8","12.5"
"77",2000,"Marist","12","9","5","12.4","11.6","11.3"
"78",2000,"Nevada","11.9","10","12","13.9","9.9","10.1"
"79",2000,"W Carolina","11.9","11.3","11","12","11.9","9.1"
"80",2000,"Maryland","11.9","14","20","12.2","11.6","12.2"
"81",2000,"Charlotte","11.9","12.7","11","13.5","11.0","11.7"
"82",2000,"USC","11.9","12.7","14","11.4","12.3","10.7"
"83",2000,"Arkansas","11.9","6.7","1","13.1","10.8","12.4"
"84",2000,"Georgia","11.9","11.7","10","12.5","11.3","10.6"
"85",2000,"Hartford","11.9","13.3","12","11.3","12.3","9.0"
"86",2000,"W Kentucky","11.9","9.3","7","13","11.2","9.0"
"87",2000,"St Josephs","11.9","9","4","11.3","12.2","13.3"
"88",2000,"Ohio","11.8","9.7","14","13.6","10.7","11.4"
"89",2000,"Pittsburgh","11.8","12.3","9","12.2","11.3","11.9"
"90",2000,"Clemson","11.8","12","9","11.4","12.4","12.5"
"91",2000,"S Florida","11.7","12","13","10.9","12.5","13.3"
"92",2000,"Nicholls","11.7","7.3","7","12.7","11.1","11.8"
"93",2000,"Fresno St","11.7","12","13","11.8","11.6","11.8"
"94",2000,"Murray St","11.7","16.3","18","12.3","11.3","14.2"
"95",2000,"TN Tech","11.7","15","16","14","9.7","9.6"
"96",2000,"Wagner","11.7","14.3","10","11.9","11.6","11.8"
"97",2000,"Toledo","11.7","13.3","16","14.1","10.4","10.3"
"98",2000,"Southern","11.7","10.3","9","11.9","11.5","13.3"
"99",2000,"U Mass","11.6","5.3","5","12.5","11.1","12.0"
"100",2000,"Grambling St","11.6","15","18","12.4","11.2","10.1"
"101",2000,"St Johns","11.6","8.7","5","10.1","13.5","14.2"
"102",2000,"Stanford","11.6","10.7","7","12.1","11.1","11.8"
"103",2000,"N Hampshire","11.6","15.7","16","12.2","11.2","9.9"
"104",2000,"Canisius","11.6","11.3","14","12","11.3","10.8"
"105",2000,"S Carolina","11.6","10.3","11","11.8","11.4","11.7"
"106",2000,"Duke","11.6","13.3","13","11.2","12.1","13.8"
"107",2000,"Harvard","11.6","7.3","7","12.8","10.5","9.8"
"108",2000,"Hofstra","11.6","10.7","11","12.2","11.2","10.0"
"109",2000,"Ball St","11.6","10","7","13.7","9.8","11.0"
"110",2000,"Ohio St","11.5","12.7","18","11.8","11.2","11.7"
"111",2000,"Manhattan","11.5","11","10","11.8","11.3","11.0"
"112",2000,"Idaho St","11.5","9","11","11.8","11.3","10.4"
"113",2000,"Oklahoma","11.5","14.7","14","12.6","10.3","11.8"
"114",2000,"S Illinois","11.5","12","15","12.4","10.8","12.0"
"115",2000,"Lg Beach St","11.5","10.7","9","12.2","10.9","9.9"
"116",2000,"Mississippi","11.4","12","11","10.7","12.1","10.8"
"117",2000,"Tulsa","11.4","16.7","20","11.6","11.3","10.9"
"118",2000,"San Diego","11.4","11","11","12.4","10.7","8.7"
"119",2000,"Winthrop","11.4","10.3","14","11","11.7","10.9"
"120",2000,"Alabama","11.4","9","9","12.3","10.5","11.9"
"121",2000,"San Francisco","11.4","10","13","11.1","11.6","12.1"
"122",2000,"Villanova","11.3","11.7","12","9.7","12.8","11.7"
"123",2000,"Cal St Nrdge","11.3","10","13","12.2","10.6","12.3"
"124",2000,"Hampton","11.3","9.7","8","11.7","11.0","10.8"
"125",2000,"TX Southern","11.3","13.3","14","10.9","11.5","9.7"
"126",2000,"Maryland ES","11.3","12.3","11","11.5","11.1","12.3"
"127",2000,"Holy Cross","11.3","12.7","12","11","11.4","8.2"
"128",2000,"Chicago St","11.2","9.3","7","12.5","10.3","11.0"
"129",2000,"Mercer","11.2","6","11","11.6","11.0","11.9"
"130",2000,"E Illinois","11.2","13","11","11","11.4","11.1"
"131",2000,"Louisville","11.2","11.7","9","12.5","9.8","12.5"
"132",2000,"Houston","11.2","8.7","6","11.1","11.3","12.6"
"133",2000,"E Tenn St","11.2","12.3","16","9.6","12.3","11.0"
"134",2000,"Lamar","11.2","9.3","7","10.5","11.7","13.0"
"135",2000,"Cincinnati","11.2","12.7","13","12.3","10.1","12.8"
"136",2000,"IL-Chicago","11.1","9.7","9","10.9","11.4","11.4"
"137",2000,"Rice","11.1","16","13","12","10.4","9.6"
"138",2000,"Bradley","11.1","7.7","5","12","10.3","9.8"
"139",2000,"Drexel","11.1","9.3","7","10.9","11.2","11.6"
"140",2000,"E Carolina","11.1","11","12","10.1","11.9","10.4"
"141",2000,"Wichita St","11.1","8","6","10.8","11.4","10.1"
"142",2000,"James Mad","11.1","12.3","18","10.2","11.8","11.6"
"143",2000,"Elon","11","11","8","10.3","11.5","9.6"
"144",2000,"E Washingtn","11","14.3","15","11.9","10.5","10.6"
"145",2000,"Cornell","11","9","7","11.5","10.7","11.2"
"146",2000,"TN Martin","11","8.3","6","13.3","9.7","5.6"
"147",2000,"Virginia","11","14","12","12.2","10.1","9.8"
"148",2000,"Florida St","11","13","12","11.3","10.7","10.6"
"149",2000,"California","11","9.3","11","10.9","11.2","11.4"
"150",2000,"VMI","11","9.7","8","11.1","10.9","9.5"
"151",2000,"Rutgers","11","7.7","9","10.6","11.4","9.6"
"152",2000,"Pepperdine","11","13.7","11","10.1","11.5","10.0"
"153",2000,"La Salle","11","7","6","11.6","10.5","11.0"
"154",2000,"St Peters","11","11","12","11.5","10.5","12.4"
"155",2000,"San Jose St","11","14.7","16","11.4","10.7","9.5"
"156",2000,"Texas","10.9","10","11","13.4","8.9","12.8"
"157",2000,"Utah St","10.9","10.3","13","11.2","10.7","11.1"
"158",2000,"F Dickinson","10.9","11.7","16","11.5","10.5","12.1"
"159",2000,"Texas A&M","10.9","10","13","10","11.6","10.6"
"160",2000,"W Michigan","10.9","10.3","11","11.2","10.7","10.3"
"161",2000,"St Fran (NY)","10.9","10","12","10.6","11.1","11.1"
"162",2000,"Marshall","10.9","8.7","11","11.5","10.3","11.4"
"163",2000,"NC-Grnsboro","10.8","10","7","10.3","11.2","10.2"
"164",2000,"Ark Pine Bl","10.8","12.7","10","9.6","11.4","12.2"
"165",2000,"Chattanooga","10.8","11.7","15","12.4","9.5","12.0"
"166",2000,"VA Tech","10.8","10.7","6","12","9.9","11.5"
"167",2000,"UCSB","10.8","7.7","7","9.8","11.6","12.6"
"168",2000,"Illinois","10.7","9","13","11.1","10.4","12.4"
"169",2000,"St Marys","10.7","11.3","12","11.7","9.9","10.5"
"170",2000,"Radford","10.7","12.3","12","11.9","10.1","11.1"
"171",2000,"Charl South","10.7","6.3","10","11.6","10.2","10.5"
"172",2000,"Jksnville St","10.7","8.3","0","11.4","9.8","9.4"
"173",2000,"Rhode Island","10.6","8.7","4","10.4","10.8","12.8"
"174",2000,"Texas St","10.6","9.7","6","11.4","10.1","12.3"
"175",2000,"Maryland BC","10.6","12","11","9.7","11.1","10.5"
"176",2000,"LA Tech","10.6","9","8","10.8","10.4","10.3"
"177",2000,"Hawaii","10.6","13.3","17","9.9","11.9","9.8"
"178",2000,"Kent St","10.6","10","10","9.6","11.3","11.3"
"179",2000,"Wofford","10.6","14.3","9","10.3","10.7","8.8"
"180",2000,"Florida Intl","10.6","8.7","5","9.9","11.4","9.7"
"181",2000,"Iowa St","10.5","12","11","11.1","9.9","10.0"
"182",2000,"Beth-Cook","10.5","14.3","12","10.9","10.4","8.3"
"183",2000,"Arizona","10.5","7.7","6","10.3","10.8","13.5"
"184",2000,"Portland St","10.5","13.3","8","10.7","10.4","9.0"
"185",2000,"Mt St Marys","10.5","9.3","9","10.1","10.8","9.9"
"186",2000,"TN State","10.5","14.3","10","9.6","11.0","13.8"
"187",2000,"Fordham","10.5","13.3","10","10.4","10.7","10.7"
"188",2000,"Sacred Hrt","10.5","9.3","10","10","11.0","9.8"
"189",2000,"Middle Tenn","10.5","8.7","10","11.8","9.4","9.3"
"190",2000,"UCF","10.5","9","6","12.4","8.9","11.0"
"191",2000,"Santa Clara","10.5","14.3","15","11.4","9.6","9.9"
"192",2000,"N Carolina","10.4","8.3","12","11.6","9.4","11.2"
"193",2000,"Oklahoma St","10.4","10.3","11","12.2","8.5","11.0"
