"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Bham Southern","48","48","48","48","--","--"
"2",2000,"Temple","54.6","47.7","44","50.3","59.3","58.5"
"3",2000,"Butler","55.3","50.3","43","51.5","58.2","60.0"
"4",2000,"Princeton","55.8","58.7","73","52.6","58.1","53.0"
"5",2000,"Wisconsin","55.8","54","55","52.4","58.6","55.2"
"6",2000,"NC-Wilmgton","57.1","53.3","47","54","59.4","62.2"
"7",2000,"WI-Grn Bay","57.9","59.7","62","54.3","61.4","56.1"
"8",2000,"Michigan St","59.4","57.3","61","56.6","61.5","59.5"
"9",2000,"U Penn","59.8","55.3","52","59.2","60.3","60.7"
"10",2000,"Stanford","60.5","79","57","59.7","61.3","61.2"
"11",2000,"Col Charlestn","60.8","61","68","58.3","62.9","59.5"
"12",2000,"Oklahoma St","61.2","61.7","68","58.2","64.5","63.1"
"13",2000,"San Jose St","61.3","74","84","54.6","66.1","65.8"
"14",2000,"Ohio St","61.3","72","71","56.5","68.7","64.8"
"15",2000,"Monmouth","61.7","63.3","86","59.6","63.3","70.3"
"16",2000,"Cincinnati","61.7","57","68","60.5","62.8","61.2"
"17",2000,"New Orleans","61.7","71","55","63.2","60.5","63.8"
"18",2000,"Miami","61.7","62","58","61","62.5","65.0"
"19",2000,"Utah St","61.8","57","66","60.5","62.8","67.9"
"20",2000,"Columbia","62","57.3","63","60.2","63.2","65.5"
"21",2000,"Boise St","62.2","63.3","74","60.9","63.5","62.1"
"22",2000,"SE Missouri","62.3","63.3","56","63.2","61.4","64.0"
"23",2000,"Marquette","62.3","69.3","77","56.8","69.3","62.7"
"24",2000,"Hofstra","62.4","60.7","69","58.8","64.8","60.8"
"25",2000,"Oklahoma","62.5","71.7","70","61","64.3","61.9"
"26",2000,"Missouri St","62.7","54.3","57","58.7","66.7","65.8"
"27",2000,"Bucknell","62.7","69.3","73","60","64.4","61.7"
"28",2000,"Utah","62.8","62","58","59.6","66.4","55.8"
"29",2000,"Tulsa","62.8","65.7","75","58.3","66.6","64.0"
"30",2000,"Central Conn","62.8","58","46","63.2","62.5","67.2"
"31",2000,"Miami (OH)","62.9","60","61","64.8","61.6","60.4"
"32",2000,"San Diego","63","61.7","80","61.1","64.3","62.6"
"33",2000,"Indiana St","63","58.3","71","59.3","65.7","65.0"
"34",2000,"Pepperdine","63","57.7","69","62.3","63.5","63.2"
"35",2000,"LSU","63","63","69","59.1","68.2","68.9"
"36",2000,"Richmond","63.1","59","57","61","65.1","66.1"
"37",2000,"Samford","63.1","70","69","57.2","66.3","63.7"
"38",2000,"Holy Cross","63.3","58.3","58","65.6","61.6","67.4"
"39",2000,"Kentucky","63.3","72.3","86","57.8","68.2","62.7"
"40",2000,"Drake","63.5","69.7","62","59.8","66.7","71.6"
"41",2000,"Texas","63.5","62","81","60.4","66.2","64.9"
"42",2000,"Syracuse","63.6","72","76","60.1","69.2","63.8"
"43",2000,"N Iowa","63.6","60","58","63.3","63.9","72.6"
"44",2000,"F Dickinson","63.6","63.7","73","60.7","66.0","66.9"
"45",2000,"DePaul","63.6","60.3","56","62.6","64.7","71.5"
"46",2000,"Valparaiso","63.8","53","62","62.2","64.5","64.1"
"47",2000,"NC State","63.8","63","60","59.7","72.0","66.3"
"48",2000,"VA Tech","63.9","57","71","62.3","65.0","66.1"
"49",2000,"St Bonavent","64.1","61.3","65","64.2","64.0","65.2"
