"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Bham Southern","22","22","22","22","--","--"
"2",2000,"UNLV","20.3","22.3","19","22.1","16.3","16.6"
"3",2000,"Fresno St","19.4","14.7","12","20.4","17.9","18.3"
"4",2000,"Maryland","19.2","17","9","21.1","17.1","19.8"
"5",2000,"TX Christian","19.2","19.7","12","21.5","16.3","19.6"
"6",2000,"Kansas","18.7","18.7","11","18.6","18.8","15.6"
"7",2000,"Syracuse","18.3","13","17","20.3","14.9","16.2"
"8",2000,"Oklahoma St","18.1","14","10","19.5","16.6","16.3"
"9",2000,"Cal St Nrdge","18","15","18","20.9","15.8","17.4"
"10",2000,"Siena","17.8","15.3","10","18.9","16.4","15.1"
"11",2000,"Duke","17.7","19","18","19.2","15.9","16.3"
"12",2000,"Notre Dame","17.7","16.7","14","20.1","15.0","17.1"
"13",2000,"Tulsa","17.7","16.3","16","18","17.4","13.5"
"14",2000,"N Carolina","17.4","16.3","10","18.7","16.4","15.9"
"15",2000,"Stanford","17.4","15.3","14","21.4","13.4","15.4"
"16",2000,"Iona","17.3","15.3","12","19.7","15.8","16.8"
"17",2000,"USC","17.3","20.3","22","16.4","18.1","15.6"
"18",2000,"E Illinois","17.2","18.3","9","18.9","15.8","15.4"
"19",2000,"S Florida","17.1","14.3","15","18.6","15.8","15.1"
"20",2000,"Middle Tenn","17.1","17.3","7","18.4","15.9","13.9"
"21",2000,"Florida","17.1","11","12","20.1","13.8","16.0"
"22",2000,"Princeton","17","19.7","15","18.6","15.8","14.6"
"23",2000,"Wagner","16.9","22","17","17.6","16.5","15.3"
"24",2000,"Gonzaga","16.8","21.3","18","16.2","17.1","16.5"
"25",2000,"Hawaii","16.7","19.7","19","16.2","17.5","14.2"
"26",2000,"Quinnipiac","16.6","18.3","18","16.1","16.9","13.9"
"27",2000,"Pittsburgh","16.4","12.3","9","17.6","14.8","13.5"
"28",2000,"Oregon","16.4","17","17","17.4","15.4","16.3"
"29",2000,"St Johns","16.4","16","15","17.5","15.0","16.7"
"30",2000,"UCLA","16.3","18.7","22","15.6","17.2","15.7"
"31",2000,"Montana St","16.3","14.3","14","18.2","15.1","19.6"
"32",2000,"Indiana","16.3","15","16","17.3","15.1","16.6"
"33",2000,"TX El Paso","16.3","12.3","16","17.3","14.6","13.0"
"34",2000,"Louisville","16.1","18","13","17.7","14.4","16.8"
"35",2000,"Morehead St","16","17.7","24","19.5","13.6","16.3"
"36",2000,"Marshall","16","14.7","11","17.9","14.4","15.3"
"37",2000,"Samford","16","9.7","15","18.1","14.9","15.2"
"38",2000,"Arizona","16","17","12","17.1","14.9","14.3"
"39",2000,"Arizona St","16","16.3","12","18.9","12.5","16.8"
"40",2000,"Michigan St","15.9","17.3","21","18.4","14.2","15.1"
"41",2000,"Minnesota","15.9","15","19","17.7","13.8","15.3"
"42",2000,"Manhattan","15.9","11","8","18.3","13.9","13.2"
"43",2000,"Harvard","15.8","17","18","17.3","14.4","14.0"
"44",2000,"Illinois","15.8","21.3","13","17.3","14.3","11.8"
"45",2000,"Oregon St","15.8","15","12","16.5","15.0","12.6"
"46",2000,"Cincinnati","15.7","12","9","16.4","15.1","14.1"
"47",2000,"Villanova","15.7","12.7","17","17.9","13.8","15.3"
"48",2000,"Jacksonville","15.7","14.7","12","16.6","14.9","11.8"
"49",2000,"Ohio","15.7","13.3","9","17.7","14.4","15.6"
"50",2000,"Connecticut","15.7","17.3","18","16.4","14.9","15.3"
"51",2000,"Fordham","15.6","11.3","10","16.4","14.9","12.2"
"52",2000,"Utah","15.6","15.7","9","17.5","13.4","15.9"
"53",2000,"W Carolina","15.6","17","15","16.3","15.1","11.4"
"54",2000,"Maine","15.5","13.7","12","15.5","15.5","15.8"
"55",2000,"Portland St","15.5","15","10","16.9","14.4","16.8"
"56",2000,"S Illinois","15.5","12.3","7","19.1","12.9","15.1"
"57",2000,"W Virginia","15.5","15.3","21","16.3","14.5","14.3"
"58",2000,"Wyoming","15.4","16.3","24","17.7","13.6","19.3"
"59",2000,"Oklahoma","15.4","12.3","14","16.3","14.5","14.0"
"60",2000,"UL Monroe","15.4","16","10","16.3","14.7","12.9"
"61",2000,"Kent St","15.4","15.3","10","16.6","14.5","14.1"
"62",2000,"Canisius","15.4","17.7","15","16.8","14.1","15.2"
"63",2000,"TX-Arlington","15.4","15","16","15.7","15.1","15.0"
"64",2000,"W Illinois","15.4","18.3","13","16.1","14.9","16.2"
"65",2000,"UTSA","15.3","15.7","16","18","13.4","15.7"
"66",2000,"Kansas City","15.3","16","13","16.8","14.3","14.3"
"67",2000,"App State","15.3","10.7","9","20.2","13.0","15.5"
"68",2000,"N Arizona","15.3","17","20","13.9","16.3","16.3"
"69",2000,"Iowa St","15.3","13","13","16.8","13.4","11.8"
"70",2000,"St Josephs","15.3","13.3","17","16.1","14.7","12.6"
"71",2000,"Evansville","15.3","13.3","10","18.6","11.9","16.6"
"72",2000,"Penn St","15.3","20.3","17","14.2","16.2","15.4"
"73",2000,"St Fran (NY)","15.3","15.7","12","16.5","14.3","16.0"
"74",2000,"Davidson","15.2","11","11","18.1","13.6","16.6"
"75",2000,"Vanderbilt","15.2","11","11","16.5","13.3","14.0"
"76",2000,"Creighton","15.2","12","8","17.2","13.8","14.5"
"77",2000,"GA Tech","15.2","18","16","16.1","14.1","13.6"
"78",2000,"Weber St","15.1","13.3","16","18.4","12.4","15.9"
"79",2000,"Arkansas St","15.1","13.3","16","17.3","13.6","14.5"
"80",2000,"U Penn","15.1","19.7","20","17.2","13.3","15.3"
"81",2000,"Rob Morris","15.1","12","8","18","13.3","13.8"
"82",2000,"Oral Roberts","15.1","15.7","14","14.9","15.2","15.6"
"83",2000,"LSU","15.1","12","13","16.4","13.4","13.8"
"84",2000,"Georgia","15.1","13","7","14","16.1","13.7"
"85",2000,"St Peters","15","15.3","11","15.5","14.5","15.5"
"86",2000,"UCSB","15","17.3","19","16.8","13.4","16.2"
"87",2000,"GA Southern","15","13.7","6","15.8","14.3","11.9"
"88",2000,"E Washingtn","15","14.7","8","18.2","12.8","14.6"
"89",2000,"Richmond","14.9","13","10","13.6","16.3","12.9"
"90",2000,"Jksnville St","14.9","12.3","0","14.9","14.9","10.7"
"91",2000,"Lafayette","14.9","17.7","21","17","13.1","15.1"
"92",2000,"Rider","14.9","15.3","11","17.3","13.3","15.6"
"93",2000,"Lg Beach St","14.8","16","13","17.3","12.9","12.0"
"94",2000,"S Utah","14.8","12.7","14","17.6","12.8","14.7"
"95",2000,"Delaware","14.8","12.7","7","16.1","13.6","14.7"
"96",2000,"S Alabama","14.8","13.7","11","16.3","13.4","15.4"
"97",2000,"Rutgers","14.7","16.3","13","16.7","12.7","14.6"
"98",2000,"Memphis","14.7","11.7","9","16.4","12.5","13.8"
"99",2000,"Sam Hous St","14.7","17.3","16","18.3","12.8","14.2"
"100",2000,"Austin Peay","14.7","16.7","13","15.6","14.0","13.5"
"101",2000,"Seton Hall","14.7","14","8","15.7","13.4","13.9"
"102",2000,"San Francisco","14.6","12","7","16.3","12.8","12.2"
"103",2000,"Tennessee","14.6","13.7","14","17.8","10.7","13.6"
"104",2000,"DePaul","14.5","11.7","7","17.8","11.1","13.1"
"105",2000,"Miami","14.5","15.7","12","14.7","14.4","15.3"
"106",2000,"Colorado","14.5","13","5","16.9","12.5","14.0"
"107",2000,"Dartmouth","14.5","13.3","12","15.5","13.7","12.4"
"108",2000,"Akron","14.5","13","13","16","13.1","14.0"
"109",2000,"Louisiana","14.5","12.7","12","15.7","13.6","11.4"
"110",2000,"Bowling Grn","14.5","9.3","7","16.7","13.1","13.6"
"111",2000,"Geo Mason","14.5","14.7","15","14.6","14.4","13.1"
"112",2000,"California","14.4","17.3","15","16.1","12.3","12.7"
"113",2000,"TN Tech","14.4","16.7","15","17.1","12.1","11.6"
"114",2000,"Central Mich","14.4","13.3","13","14.6","14.1","13.1"
"115",2000,"Navy","14.3","10.3","7","15.1","13.4","14.7"
"116",2000,"North Texas","14.3","10.3","11","12.7","15.7","11.6"
"117",2000,"Texas A&M","14.3","16","9","17.7","11.5","14.1"
"118",2000,"Central Conn","14.3","10.3","8","16.9","11.9","13.2"
