"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Iona","7","8.3","8","6.8","7.2","7.2"
"2",2000,"UL Monroe","7","5","5","8.2","5.9","5.4"
"3",2000,"Ohio St","6.9","7.7","6","7.2","6.4","4.1"
"4",2000,"Maryland","6.7","4.7","2","7.9","5.2","5.9"
"5",2000,"Navy","6.7","2.7","3","7.5","5.7","5.6"
"6",2000,"Georgetown","6.5","3","2","7.9","5.0","6.0"
"7",2000,"Cincinnati","6.5","5","3","6.7","6.2","4.5"
"8",2000,"Seton Hall","6.3","4","1","7.3","5.2","4.0"
"9",2000,"TX Christian","6.1","8","3","7.9","3.9","3.9"
"10",2000,"Col Charlestn","5.9","5.7","7","7.8","4.2","6.3"
"11",2000,"Tennessee","5.7","8","7","6.5","4.8","6.3"
"12",2000,"Kansas","5.7","6.3","10","6.3","5.1","4.4"
"13",2000,"Arizona","5.6","5","6","5.6","5.5","3.2"
"14",2000,"Delaware","5.5","3","3","5.9","5.2","4.5"
"15",2000,"LSU","5.5","4.3","2","6.1","4.8","3.8"
"16",2000,"Duke","5.5","3.7","4","6","4.9","6.2"
"17",2000,"Kentucky","5.4","5.3","4","5.4","5.4","5.2"
"18",2000,"VCU","5.4","5","3","6.1","4.4","4.2"
"19",2000,"Syracuse","5.3","3","1","6.2","3.9","6.8"
"20",2000,"SE Missouri","5.3","6.3","9","5.6","5.1","3.9"
"21",2000,"Stanford","5.3","3","5","6.4","4.1","2.8"
"22",2000,"Minnesota","5.2","1.3","2","6.3","4.0","5.8"
"23",2000,"Miss Val St","5.2","5","7","5.6","5.0","6.4"
"24",2000,"Connecticut","5.2","2","3","6.2","4.2","4.1"
"25",2000,"Richmond","5.2","6","3","6.1","4.3","4.0"
"26",2000,"Central Conn","5.1","6","6","5.9","4.4","3.5"
"27",2000,"Hampton","5","5","7","5.4","4.8","5.3"
"28",2000,"Texas","5","6.3","8","5.5","4.6","5.1"
"29",2000,"Loyola-MD","5","2.7","0","6.7","3.8","3.0"
"30",2000,"VA Tech","5","6","3","6.6","3.8","5.5"
"31",2000,"S Mississippi","5","3","1","5.7","4.4","3.0"
"32",2000,"Indiana","4.9","3.7","2","4.9","4.9","3.4"
"33",2000,"GA Tech","4.9","3.7","2","6.1","3.4","5.5"
"34",2000,"Prairie View","4.8","4.7","7","5.7","4.4","4.0"
"35",2000,"Nebraska","4.8","3.3","6","4.7","5.0","4.8"
"36",2000,"Princeton","4.8","7","5","4.5","5.0","3.3"
"37",2000,"Fresno St","4.7","6.3","8","5.2","4.1","4.7"
"38",2000,"Providence","4.7","3","5","5.9","3.2","2.2"
"39",2000,"Maryland BC","4.7","5.7","7","5.1","4.5","3.2"
"40",2000,"Marist","4.7","3.3","4","5.5","4.1","4.6"
"41",2000,"N Carolina","4.7","4","2","5.1","4.3","3.9"
"42",2000,"Villanova","4.6","5","6","5.3","4.1","4.5"
"43",2000,"Tulsa","4.6","4","4","5.9","3.6","5.3"
"44",2000,"Bucknell","4.6","3","2","4.1","4.9","4.0"
"45",2000,"Jackson St","4.5","5","6","4.9","4.4","4.2"
"46",2000,"Louisville","4.5","6","6","5.1","3.9","4.8"
"47",2000,"Gonzaga","4.5","3","3","5.3","4.1","3.8"
"48",2000,"NC State","4.5","3","6","4.7","4.1","3.8"
"49",2000,"New Mexico","4.5","4.3","2","5.2","3.5","3.2"
"50",2000,"UNLV","4.5","4.3","5","4.7","3.9","5.3"
"51",2000,"E Michigan","4.4","3.7","3","3.3","5.3","3.9"
"52",2000,"Colorado St","4.4","4.3","6","4.4","4.4","3.9"
"53",2000,"Temple","4.4","3.3","8","4.6","4.1","3.6"
"54",2000,"W Virginia","4.4","4","5","5.2","3.4","4.0"
"55",2000,"Ball St","4.3","5","7","4","4.6","2.7"
"56",2000,"Michigan","4.3","5","5","4.2","4.5","3.3"
"57",2000,"Texas Tech","4.3","3.7","5","4.5","4.0","4.5"
"58",2000,"Florida Intl","4.3","2.7","2","4.4","4.1","2.1"
"59",2000,"UCLA","4.3","4.3","3","4.5","4.0","3.6"
"60",2000,"Memphis","4.2","3.7","3","4.9","3.3","5.8"
"61",2000,"Kansas St","4.2","3","6","4.1","4.3","4.2"
"62",2000,"Baylor","4.2","7.3","10","3.6","5.1","3.4"
"63",2000,"Buffalo","4.2","1.7","1","4.5","4.0","3.6"
"64",2000,"Wm & Mary","4.1","2.7","3","4.5","3.9","3.4"
"65",2000,"Lg Beach St","4.1","4","8","4.3","4.1","2.9"
"66",2000,"U Penn","4.1","4.3","4","4.2","4.0","3.0"
"67",2000,"W Kentucky","4.1","4","4","4.9","3.6","1.3"
"68",2000,"UTSA","4","2","2","4.4","3.8","4.3"
"69",2000,"La Salle","4","4","1","3.2","4.6","4.2"
"70",2000,"American","4","5.7","4","4.8","3.5","3.3"
"71",2000,"Georgia St","4","2","2","5.1","3.0","3.9"
"72",2000,"U Mass","4","4","2","4.9","3.4","5.4"
"73",2000,"Northeastrn","4","7","3","4.3","3.8","3.8"
"74",2000,"Coppin St","4","5","8","4","3.9","2.6"
"75",2000,"USC","4","3","5","4.9","3.2","4.4"
"76",2000,"Alabama","4","4.7","5","5.3","2.6","3.6"
"77",2000,"Lehigh","4","2.7","3","4.8","3.4","1.8"
"78",2000,"Saint Louis","3.9","3","5","4.4","3.4","2.5"
"79",2000,"Hofstra","3.9","3","3","4.6","3.5","3.7"
"80",2000,"Niagara","3.9","3.3","3","4.3","3.6","3.0"
"81",2000,"TX A&M-CC","3.9","5.3","8","4.6","3.5","--"
"82",2000,"S Car State","3.9","3.7","5","3.7","4.0","4.4"
"83",2000,"Xavier","3.9","2","0","5","3.1","3.9"
"84",2000,"Florida St","3.9","2","1","4.6","3.1","2.8"
"85",2000,"Radford","3.9","3.3","2","5","3.3","3.0"
"86",2000,"Illinois","3.9","5","3","4.1","3.6","3.3"
"87",2000,"James Mad","3.9","3.3","5","3.9","3.8","3.3"
"88",2000,"Missouri St","3.8","1.7","1","3.8","3.9","4.0"
"89",2000,"S Florida","3.8","2.3","2","4.5","3.3","3.7"
"90",2000,"Florida","3.8","1.3","0","5.4","2.1","3.8"
"91",2000,"Austin Peay","3.8","7.7","6","3.7","3.9","3.3"
"92",2000,"Wake Forest","3.8","4.3","7","3.9","3.7","2.0"
"93",2000,"San Francisco","3.8","4.3","3","4.6","2.8","3.3"
"94",2000,"DePaul","3.8","2.7","3","4.2","3.3","2.0"
"95",2000,"Charl South","3.8","6","8","4.7","3.3","3.5"
"96",2000,"Utah St","3.8","7","6","3.7","3.8","2.4"
"97",2000,"Washington","3.8","5.7","6","3.9","3.6","3.3"
"98",2000,"Holy Cross","3.8","4.3","2","4.7","3.1","2.8"
"99",2000,"App State","3.8","2","2","4.9","3.2","3.6"
"100",2000,"Miami","3.7","2.3","3","4.1","3.3","5.3"
"101",2000,"Quinnipiac","3.7","1.3","0","2.8","4.5","2.0"
"102",2000,"Mississippi","3.7","2","1","4.8","2.7","4.0"
"103",2000,"Geo Mason","3.7","4.7","4","4.1","3.4","4.4"
"104",2000,"Vermont","3.6","4.3","2","5.3","2.6","3.4"
"105",2000,"Rhode Island","3.6","2","1","3.1","3.9","4.6"
"106",2000,"N Hampshire","3.6","4","2","4.5","2.9","3.6"
"107",2000,"LIU-Brooklyn","3.6","4","4","4.2","3.3","3.2"
"108",2000,"S Methodist","3.6","3","1","4.6","2.6","3.9"
"109",2000,"Marshall","3.6","4.3","1","4","3.2","4.0"
"110",2000,"Ste F Austin","3.6","3.3","2","2.9","4.3","2.5"
"111",2000,"Siena","3.5","3.3","4","4.5","2.4","3.4"
"112",2000,"Portland","3.5","2","1","4.4","2.8","2.9"
"113",2000,"Sac State","3.5","3","4","3.7","3.4","3.9"
"114",2000,"Oklahoma St","3.5","3.7","5","4.4","2.6","3.0"
"115",2000,"Hartford","3.5","1.7","1","3.2","3.8","2.0"
"116",2000,"UCF","3.5","2.3","1","4.5","2.7","3.3"
"117",2000,"Rider","3.5","2.7","3","4.7","2.7","2.9"
"118",2000,"Miss State","3.5","2.3","3","4.1","3.0","3.5"
"119",2000,"Winthrop","3.5","4","4","3.7","3.3","2.7"
"120",2000,"Middle Tenn","3.5","2","2","3.8","3.2","3.4"
"121",2000,"Louisiana","3.5","3.7","5","3.6","3.3","2.7"
"122",2000,"E Kentucky","3.4","5","6","4.5","2.6","2.3"
"123",2000,"Albany","3.4","2.3","3","3.8","3.3","3.7"
