"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"S Methodist","8.8","14.3","14","10.2","7.4","6.2"
"2",2000,"Arizona St","8.1","3.3","13","11.2","4.3","3.4"
"3",2000,"Bham Southern","8","8","8","8","--","--"
"4",2000,"Geo Wshgtn","7.5","4","15","6.9","7.9","9.4"
"5",2000,"St Johns","7.1","4.7","1","6.4","7.9","6.9"
"6",2000,"Temple","6.7","3","-7","8.8","4.5","6.6"
"7",2000,"Hofstra","6.7","4.3","2","5.5","7.5","3.4"
"8",2000,"TX-Arlington","6.6","3.3","12","8.5","4.8","-2.3"
"9",2000,"Arkansas","6.2","10.3","0","8.2","4.4","3.4"
"10",2000,"Florida","6.2","2.7","-5","9.7","2.5","-0.4"
"11",2000,"Wagner","6.1","10.3","-4","7.5","5.2","-2.0"
"12",2000,"Auburn","5.9","3","0","8.2","3.2","13.5"
"13",2000,"Oklahoma","5.9","1.7","5","9.8","1.5","4.0"
"14",2000,"Tulsa","5.4","6.7","4","10","1.6","-0.6"
"15",2000,"Miss Val St","5.4","7.3","6","6","5.1","0.3"
"16",2000,"Miami","5.3","-2","-7","7.6","2.8","-1.9"
"17",2000,"Illinois","5.2","0.3","6","8.7","1.7","1.9"
"18",2000,"NC State","5.1","0.3","4","6.9","1.7","2.8"
"19",2000,"Liberty","5","8.3","7","9.9","1.6","-4.9"
"20",2000,"Stetson","4.7","5.7","10","4.1","5.0","3.1"
"21",2000,"Cleveland St","4.6","-0.3","3","7.3","2.1","-0.2"
"22",2000,"Nicholls","4.6","4.7","-3","8.6","2.1","2.9"
"23",2000,"Virginia","4.5","12.3","10","6.9","2.7","-1.4"
"24",2000,"Purdue","4.3","4","-4","6.9","2.0","1.7"
"25",2000,"Pepperdine","4.3","4.7","5","9.4","1.3","0.4"
"26",2000,"Alab A&M","4.3","8.7","13","8.9","0.5","1.3"
"27",2000,"UNLV","4.3","5","6","6.1","0.5","1.1"
"28",2000,"Air Force","4.3","5.3","13","5","3.8","3.8"
"29",2000,"USC","4.3","7.3","10","4.9","3.8","1.1"
"30",2000,"Siena","4.3","4","6","5.1","3.3","0.9"
"31",2000,"Xavier","4.3","9.7","-3","5.4","3.4","2.7"
