"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Wagner","22.3","28.3","28","22.7","22.1","16.4"
"2",2000,"Liberty","22.3","22.7","25","23.4","21.5","16.5"
"3",2000,"Alab A&M","22","24.3","27","20.7","23.2","20.4"
"4",2000,"Navy","21.1","25.3","24","21.9","20.2","18.6"
"5",2000,"Arkansas","21.1","23","17","21.8","20.5","18.1"
"6",2000,"Tulsa","20.9","18.3","16","24.5","17.9","16.5"
"7",2000,"S Utah","20.7","21.3","18","22.7","19.4","14.9"
"8",2000,"Siena","20.5","15.3","14","21.1","19.9","19.4"
"9",2000,"Florida","20","16","11","23.4","16.4","19.1"
"10",2000,"Virginia","19.8","21","23","21.1","18.9","16.7"
"11",2000,"Southern","19.6","22","27","21.4","18.5","20.8"
"12",2000,"Manhattan","19.5","13.3","11","19.2","19.7","15.4"
"13",2000,"NC A&T","19.3","15.7","23","20.9","18.7","17.6"
"14",2000,"TX-Arlington","19.3","18.3","19","20","18.7","16.0"
"15",2000,"Miss Val St","19.2","24","15","20.6","18.6","17.7"
"16",2000,"Geo Wshgtn","19.2","15.3","17","19.3","19.2","20.8"
"17",2000,"UAB","19.2","14","9","19.5","18.9","17.0"
"18",2000,"Nicholls","19.2","17","14","20.3","18.4","17.8"
"19",2000,"NW State","19","14.3","9","19.7","18.5","20.3"
"20",2000,"Louisville","19","18","15","19.9","18.1","19.2"
"21",2000,"Florida A&M","19","16","14","20","18.4","18.4"
"22",2000,"Grambling St","19","19.3","18","19.4","18.8","15.8"
"23",2000,"S Florida","19","20","22","18.5","19.4","20.3"
"24",2000,"VMI","18.9","18.3","21","19","18.8","20.8"
"25",2000,"Elon","18.8","17","20","17.9","19.4","16.8"
"26",2000,"Arizona St","18.8","16.7","17","21","16.1","17.3"
"27",2000,"Pepperdine","18.7","15.3","17","22.3","16.5","16.2"
"28",2000,"USC","18.6","17.7","20","20.1","17.3","17.9"
"29",2000,"Lafayette","18.6","20","25","20.9","16.6","16.8"
"30",2000,"Illinois","18.5","15.7","13","20.5","16.6","17.1"
"31",2000,"Maryland","18.5","17","17","20.3","16.3","21.5"
"32",2000,"Miami","18.5","13","7","20.4","16.5","17.6"
"33",2000,"Boston Col","18.5","20","15","19.5","17.4","18.4"
"34",2000,"Charl South","18.5","17.3","16","20.9","17.2","19.6"
"35",2000,"St Johns","18.4","16","17","18.9","17.9","17.0"
"36",2000,"Cleveland St","18.4","14.7","13","19.4","17.5","15.2"
"37",2000,"NC State","18.4","17.7","13","19.1","17.0","16.9"
"38",2000,"Duke","18.3","17","16","19.6","16.7","17.6"
"39",2000,"Cal St Nrdge","18.3","16.7","16","19.4","17.4","20.9"
"40",2000,"Lg Beach St","18.1","15.7","15","17.6","18.5","16.0"
"41",2000,"Providence","18.1","13","12","18.2","17.9","20.5"
"42",2000,"Beth-Cook","18","15","16","19.4","17.4","15.2"
"43",2000,"Kansas","18","16.3","13","18.5","17.6","16.2"
"44",2000,"TX A&M-CC","18","23.3","37","19.9","16.7","--"
"45",2000,"Alcorn St","17.9","16","12","19.4","17.2","19.1"
"46",2000,"UNLV","17.9","15","13","19.5","14.5","16.2"
"47",2000,"Memphis","17.8","16.3","15","18.2","17.3","19.0"
"48",2000,"Missouri","17.8","21.7","20","19.1","16.2","16.5"
"49",2000,"Coastal Car","17.7","19","26","18.6","17.1","18.2"
"50",2000,"Radford","17.7","18.7","19","19.3","16.9","19.7"
"51",2000,"TX Southern","17.7","17","16","19","17.1","16.2"
"52",2000,"Harvard","17.7","18","22","16.2","18.9","16.6"
"53",2000,"Hartford","17.6","20.7","21","16.2","18.8","16.5"
"54",2000,"Georgetown","17.6","11","9","19.4","15.7","18.4"
"55",2000,"LIU-Brooklyn","17.6","17.7","24","19.1","16.8","18.1"
"56",2000,"Boise St","17.6","17.7","13","19.5","15.5","19.7"
"57",2000,"Tulane","17.5","16","11","18.7","16.3","18.1"
"58",2000,"N Hampshire","17.5","15.3","18","17.9","17.3","11.0"
"59",2000,"App State","17.5","17","18","19.2","16.6","18.0"
"60",2000,"S Methodist","17.5","21.3","22","16.8","18.1","14.2"
"61",2000,"Tennessee","17.4","12.3","9","18.9","15.7","17.1"
"62",2000,"American","17.4","16.7","12","19","16.2","17.1"
"63",2000,"S Alabama","17.3","15.7","14","19.3","15.6","14.9"
"64",2000,"St Fran (NY)","17.3","17","17","17.9","16.8","21.0"
"65",2000,"Houston","17.2","15.7","14","17.7","16.8","14.9"
"66",2000,"Kent St","17.2","13","12","18.1","16.5","17.9"
"67",2000,"Norfolk St","17.2","16","15","16","17.8","18.5"
"68",2000,"Prairie View","17.2","16.3","17","19.7","15.8","19.2"
"69",2000,"Oregon","17.1","15.7","17","18.1","16.2","14.6"
"70",2000,"Sac State","17.1","21.7","26","17.3","16.9","15.6"
"71",2000,"High Point","17.1","17.7","20","14.4","18.4","14.1"
"72",2000,"Oklahoma St","17","15","13","19.9","14.0","16.1"
"73",2000,"Louisiana","17","11.7","11","19","15.6","16.8"
"74",2000,"Florida Intl","17","16","18","17.4","16.4","15.8"
"75",2000,"Xavier","17","17.7","14","17.8","16.4","18.5"
"76",2000,"Ste F Austin","17","18.3","15","16.3","17.7","17.5"
"77",2000,"Bham Southern","17","17","17","17","--","--"
"78",2000,"W Carolina","17","18.7","25","17.7","16.6","15.4"
"79",2000,"Arizona","17","14.7","14","16.6","17.3","15.3"
"80",2000,"Purdue","17","15.3","8","19.4","14.7","16.8"
"81",2000,"Hampton","16.9","17.3","16","16","17.6","14.4"
"82",2000,"IUPUI","16.9","18","19","18.3","15.9","17.1"
"83",2000,"VCU","16.9","19","23","17.6","16.1","16.1"
"84",2000,"Portland St","16.9","15","15","17.8","16.3","14.1"
"85",2000,"UL Monroe","16.9","13","14","18.3","15.7","18.5"
"86",2000,"Northeastrn","16.9","14","15","20.3","14.6","16.7"
"87",2000,"Niagara","16.9","10.3","6","18.4","15.8","18.0"
"88",2000,"Jacksonville","16.8","13.7","14","17.4","16.3","18.2"
"89",2000,"TX Christian","16.8","18.3","15","18.8","14.5","15.1"
"90",2000,"Army","16.8","19.3","17","15.9","17.5","15.8"
"91",2000,"S Illinois","16.8","13.3","12","17.9","16.0","16.6"
"92",2000,"Hofstra","16.8","13.3","11","15.4","17.7","15.4"
"93",2000,"U Mass","16.7","15.3","10","17","16.6","12.9"
"94",2000,"LSU","16.7","12.7","13","17.9","15.2","14.3"
"95",2000,"Middle Tenn","16.7","11.7","7","16.6","16.9","15.9"
"96",2000,"TX-Pan Am","16.6","16","11","18.6","15.1","19.5"
"97",2000,"Ark Pine Bl","16.6","21.3","19","15.9","17.0","18.0"
"98",2000,"Central Conn","16.6","14.7","15","17.6","15.7","17.2"
"99",2000,"Rider","16.5","16.3","19","17.2","16.1","16.0"
"100",2000,"Kansas City","16.5","17.3","20","16.9","16.3","14.2"
"101",2000,"Colgate","16.5","18.3","24","16.1","16.7","17.5"
"102",2000,"Cincinnati","16.5","18.3","12","18.3","14.7","16.7"
"103",2000,"UCLA","16.4","18.3","26","19","13.5","20.2"
"104",2000,"Indiana St","16.4","14.3","11","16.7","16.2","15.3"
"105",2000,"Colorado","16.4","18.3","18","16.6","16.2","18.2"
"106",2000,"Jackson St","16.4","16.3","20","15.3","16.9","17.2"
"107",2000,"Geo Mason","16.3","19.3","9","16.8","15.9","19.2"
"108",2000,"California","16.3","14.7","18","16.7","15.8","18.2"
"109",2000,"Auburn","16.3","13","6","17.7","14.6","19.9"
"110",2000,"Saint Louis","16.3","17","16","16.4","16.2","18.2"
"111",2000,"Ball St","16.3","13.3","4","18.8","14.3","15.3"
"112",2000,"GA Southern","16.3","15.3","12","17.5","15.4","15.4"
"113",2000,"St Bonavent","16.3","17.7","15","16","16.5","18.1"
"114",2000,"Iona","16.3","19.3","17","15.5","16.8","16.4"
"115",2000,"Iowa St","16.3","15.7","13","17.1","15.4","11.8"
"116",2000,"Howard","16.3","16.3","18","17.9","15.4","16.8"
"117",2000,"Baylor","16.3","12.3","14","16.5","15.9","15.6"
"118",2000,"Central Mich","16.3","14.3","12","15.9","16.6","16.0"
"119",2000,"Fla Atlantic","16.3","7.3","0","16.5","16.2","17.9"
"120",2000,"Albany","16.3","21.3","19","18","15.3","7.0"
"121",2000,"Towson","16.3","18","18","16.5","16.1","15.8"
"122",2000,"Bradley","16.2","12.3","14","16.4","16.1","16.9"
"123",2000,"S Carolina","16.2","17","18","17.3","15.1","14.0"
"124",2000,"Stony Brook","16.2","25","45","17","15.6","15.2"
"125",2000,"Wyoming","16.2","16","12","15.5","16.8","19.0"
"126",2000,"W Michigan","16.2","12.3","11","17","15.6","16.9"
"127",2000,"Fairfield","16.2","18.3","23","16.2","16.2","20.4"
"128",2000,"Oakland","16.1","22","18","16.2","16.1","13.2"
"129",2000,"Quinnipiac","16.1","22","32","17.5","15.0","14.6"
"130",2000,"Maryland ES","16.1","17.7","19","16.9","15.6","16.5"
"131",2000,"Portland","16","12.7","18","16.7","15.5","18.3"
"132",2000,"N Illinois","16","16","13","16.2","15.9","14.0"
"133",2000,"Indiana","16","11.7","14","18.3","13.4","16.6"
"134",2000,"Wichita St","16","17","16","17.9","13.8","17.1"
"135",2000,"UTSA","16","12.7","13","15","16.7","17.0"
"136",2000,"Winthrop","16","14.3","7","16.8","15.4","15.6"
"137",2000,"Oklahoma","16","14","15","16.9","14.9","15.9"
"138",2000,"TN Martin","16","16.3","17","18.6","14.4","14.4"
"139",2000,"E Michigan","16","14.3","11","15.5","16.3","16.4"
"140",2000,"Delaware","15.9","14.7","10","16.4","15.5","16.4"
"141",2000,"McNeese St","15.9","15.7","9","17.2","14.9","21.3"
"142",2000,"Monmouth","15.9","17","17","16.4","15.5","18.4"
"143",2000,"Vanderbilt","15.9","14","12","16.1","15.7","16.3"
"144",2000,"Rob Morris","15.9","11.7","12","17.5","14.9","18.1"
"145",2000,"Syracuse","15.9","13","17","16.8","14.4","17.9"
"146",2000,"Washington","15.8","16","16","16.9","14.9","13.8"
"147",2000,"Penn St","15.8","15.3","19","17.6","14.1","13.7"
"148",2000,"Iowa","15.8","13","12","17.8","14.2","17.5"
"149",2000,"Arkansas St","15.7","12.7","12","17.9","14.3","18.1"
"150",2000,"Sam Hous St","15.7","13.3","10","16.3","15.4","15.7"
"151",2000,"Oral Roberts","15.7","17.3","14","14.2","16.8","14.9"
"152",2000,"Oregon St","15.7","13.3","9","17.6","13.9","13.3"
"153",2000,"Texas","15.7","13.3","12","18.3","13.6","15.5"
"154",2000,"Coppin St","15.7","13.3","12","17.1","14.9","17.3"
"155",2000,"Ohio","15.7","14","10","16.6","15.1","15.2"
"156",2000,"Davidson","15.7","12","10","15.7","15.7","17.8"
"157",2000,"Mississippi","15.7","18","22","17.1","14.3","19.0"
"158",2000,"St Peters","15.6","11","9","15.9","15.4","17.6"
"159",2000,"San Diego St","15.6","15.3","14","17","14.2","18.2"
"160",2000,"Marist","15.6","12.3","10","16.6","14.9","15.6"
"161",2000,"E Illinois","15.6","14.7","10","15.8","15.4","14.2"
"162",2000,"Alabama St","15.6","16","17","17.6","14.1","16.1"
"163",2000,"Bucknell","15.6","14","10","17.6","14.3","17.0"
"164",2000,"F Dickinson","15.6","12","11","16.2","15.1","15.4"
"165",2000,"DePaul","15.5","9.3","7","17","14.0","14.2"
"166",2000,"Fresno St","15.5","17","19","16.9","13.6","18.2"
"167",2000,"Duquesne","15.5","11.7","12","16.9","14.3","15.0"
"168",2000,"San Francisco","15.5","12","15","16.1","14.8","16.4"
"169",2000,"Villanova","15.5","14.3","10","16.9","14.1","14.9"
"170",2000,"Morgan St","15.4","12.7","13","16.5","14.8","16.1"
"171",2000,"Akron","15.4","12.3","16","16.4","14.6","15.4"
"172",2000,"Loyola-MD","15.4","16.7","15","15.7","15.2","17.3"
"173",2000,"W Illinois","15.4","12.3","12","15.7","15.2","14.3"
"174",2000,"Lehigh","15.3","16","16","17.2","14.2","14.8"
"175",2000,"Wash State","15.3","18","15","14.9","15.7","18.1"
"176",2000,"Air Force","15.3","14","19","15.3","15.3","15.0"
"177",2000,"VA Tech","15.2","14.3","10","14.8","15.5","15.0"
"178",2000,"Brown","15.2","12.3","13","16.5","13.9","13.1"
"179",2000,"Charlotte","15.2","14.7","12","15.9","14.7","15.1"
"180",2000,"Drake","15.1","10.3","10","17.2","13.3","16.7"
"181",2000,"Buffalo","15.1","12.3","10","14.8","15.4","14.9"
"182",2000,"Fordham","15.1","16.7","18","15.4","14.8","15.8"
"183",2000,"Murray St","15.1","15.7","13","15.3","15.0","15.8"
"184",2000,"E Tenn St","15.1","16","17","14.7","15.3","15.3"
"185",2000,"Montana St","15","14","14","16.4","14.1","13.3"
"186",2000,"Ohio St","15","11.3","14","16.8","12.3","17.7"
"187",2000,"Maine","15","17.3","8","15.4","14.8","19.1"
"188",2000,"Butler","15","15","12","16.5","13.9","16.1"
"189",2000,"Seton Hall","15","13","14","16.3","13.4","14.9"
"190",2000,"Creighton","15","13.3","14","16.1","14.3","17.2"
"191",2000,"Hawaii","15","15.3","18","14.6","15.8","14.8"
"192",2000,"Georgia St","15","10","10","18.1","12.0","15.3"
"193",2000,"BYU","15","10.7","15","14.9","15.0","13.7"
"194",2000,"Marshall","15","11","10","17.6","12.7","14.6"
"195",2000,"Youngs St","15","14.7","9","14.2","15.4","15.0"
"196",2000,"Rutgers","14.9","15","16","16.3","13.5","17.4"
"197",2000,"Santa Clara","14.9","12.7","14","15.8","14.2","12.8"
