"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Siena","84.4","81","84.8","84","84.8","79.9"
"2",2000,"Prairie View","84","84.1","80.4","86.7","82.5","85.6"
"3",2000,"Grambling St","83.3","84.9","94.6","79.8","85.3","72.1"
"4",2000,"Miss Val St","80.6","87.3","72.9","80.6","80.6","77.6"
"5",2000,"UNLV","80.6","75.2","66.8","80.9","80.1","73.0"
"6",2000,"Wagner","80.5","89.6","99.2","79","81.5","73.2"
"7",2000,"TX Christian","80.4","77.6","78.5","83","77.2","78.5"
"8",2000,"UL Monroe","80","76.9","68","80.5","79.6","80.0"
"9",2000,"TX A&M-CC","79.6","84.7","100","79.6","79.6","--"
"10",2000,"VMI","79.6","77.4","80.7","79.2","79.8","78.6"
"11",2000,"Hartford","79.5","85.5","81.4","76.4","81.9","73.1"
"12",2000,"Norfolk St","79.2","80.9","74.8","78.9","79.4","77.6"
"13",2000,"Iona","79.2","79.1","84.8","78.8","79.5","78.5"
"14",2000,"Wyoming","79","74.4","81.3","78.6","79.4","82.3"
"15",2000,"NC A&T","79","80.7","87.3","79.7","78.7","69.8"
"16",2000,"N Hampshire","79","76","90.8","76.9","80.5","71.8"
"17",2000,"Navy","78.9","81.6","84.6","80.6","76.8","76.5"
"18",2000,"Geo Wshgtn","78.8","74.4","72.2","80.4","77.6","77.9"
"19",2000,"Virginia","78.4","77.2","74.4","81.5","76.0","74.1"
"20",2000,"Houston","78.2","72.8","72.9","78.3","78.1","76.8"
"21",2000,"Beth-Cook","78.1","77.5","75.5","82.2","76.2","69.6"
"22",2000,"Duke","78.1","72.4","71.4","78.8","77.3","77.5"
"23",2000,"Alab A&M","78","82.9","91.7","71.8","83.3","85.6"
"24",2000,"UAB","77.7","68.3","68.1","80","75.5","74.6"
"25",2000,"Fresno St","77.7","80.3","78.8","77.7","77.8","76.5"
"26",2000,"Kansas","77.7","75.8","74.2","77.8","77.6","72.7"
"27",2000,"Florida","77.6","77.2","80.2","81.8","73.2","76.5"
"28",2000,"S Florida","77.5","74.1","71.2","74.3","80.4","75.5"
"29",2000,"Buffalo","77.5","71","74.9","77.6","77.5","73.2"
"30",2000,"UTSA","77.5","76.5","75.3","77.8","77.3","76.5"
"31",2000,"Howard","77.4","78.3","85.7","75.8","78.3","75.0"
"32",2000,"Fairfield","77.3","73.8","81.5","75.9","78.1","82.9"
"33",2000,"North Texas","77.2","79.6","84.5","71.2","82.1","79.8"
"34",2000,"Michigan","77.2","77.3","68.9","77.7","76.6","67.6"
"35",2000,"Memphis","77.1","73.7","69.1","78.2","75.7","79.8"
"36",2000,"Niagara","76.9","74.4","77.4","76.2","77.5","78.7"
"37",2000,"Manhattan","76.9","71.3","69.1","75","78.5","71.4"
"38",2000,"St Fran (NY)","76.8","73.7","79","78.4","75.6","79.4"
"39",2000,"TX-Arlington","76.7","77.8","84","75.4","77.8","74.7"
"40",2000,"Liberty","76.6","76.9","76.6","76","77.1","75.9"
"41",2000,"Sacred Hrt","76.6","86.3","69.7","76","77.3","78.0"
"42",2000,"W Carolina","76.6","80.6","86","76.6","76.6","73.8"
"43",2000,"Quinnipiac","76.6","89.5","99.2","75.2","77.7","75.6"
"44",2000,"E Illinois","76.1","80.9","67.3","74.2","77.7","71.3"
"45",2000,"W Michigan","76.1","74.2","68.8","78.7","74.2","73.0"
"46",2000,"Tennessee","76.1","71.8","70","77","75.0","73.6"
"47",2000,"Morgan St","76","77.3","69.1","76.3","75.9","71.6"
"48",2000,"Georgetown","76","66.2","65.9","77.4","74.6","75.2"
"49",2000,"Southern","76","76.9","81.8","79.3","74.1","82.3"
"50",2000,"Florida A&M","76","70.5","68","74.9","76.7","76.1"
"51",2000,"Hampton","75.9","78.4","74.6","75.6","76.1","74.4"
"52",2000,"Arizona St","75.8","73.3","70.9","77.5","73.8","74.9"
"53",2000,"Arizona","75.8","74.7","74.1","76.1","75.5","77.6"
"54",2000,"Fordham","75.8","76.8","66.6","76","75.6","69.8"
