"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Duke","89.1","85.7","81","93.7","83.6","91.8"
"2",2000,"Bham Southern","89","89","89","89","--","--"
"3",2000,"TX Christian","87.5","80","71","93.9","79.6","85.3"
"4",2000,"Siena","86.9","84","80","89.6","83.6","86.7"
"5",2000,"Florida","84.8","76.3","70","93","76.1","80.3"
"6",2000,"Fresno St","83.1","85.7","75","83.9","82.1","79.8"
"7",2000,"UNLV","82.9","84.3","79","84.4","79.8","73.6"
"8",2000,"Wyoming","81.6","81.3","92","85.9","78.0","81.6"
"9",2000,"Tulsa","81.2","78.7","72","82.6","80.1","70.3"
"10",2000,"Geo Wshgtn","80.6","74","68","84.6","77.5","79.5"
"11",2000,"Virginia","80.5","76.3","65","89.2","73.8","72.8"
"12",2000,"Marshall","80.5","68","63","83.8","77.6","75.4"
"13",2000,"Tennessee","80.3","74.7","68","85.4","74.2","72.6"
"14",2000,"Stanford","79.9","79.7","65","85.5","74.4","73.4"
"15",2000,"Lg Beach St","79.9","93.7","84","81.8","78.3","66.9"
"16",2000,"E Illinois","79.8","94","70","79.3","80.3","71.2"
"17",2000,"Iona","79.5","74.7","84","84.2","76.3","75.7"
"18",2000,"Arizona St","79.2","73","57","80.3","77.8","74.0"
"19",2000,"Murray St","79.1","76","56","84.8","75.5","78.8"
"20",2000,"Kansas","78.5","75","58","80.5","76.8","71.5"
"21",2000,"Cincinnati","78.5","68.7","58","82","75.3","73.9"
"22",2000,"TN Tech","78.5","71.3","70","84.8","73.0","65.4"
"23",2000,"Indiana","78.4","67","69","82.5","73.7","75.4"
"24",2000,"TX A&M-CC","78.2","85.7","87","81","76.2","--"
"25",2000,"USC","78.1","81.7","82","80.1","76.3","75.8"
"26",2000,"Gonzaga","77.9","75","69","85.8","73.3","78.3"
"27",2000,"S Florida","77.8","65.3","58","76.9","78.6","71.6"
"28",2000,"UL Monroe","77.5","73","62","79.4","75.8","71.3"
"29",2000,"TX-Arlington","77.4","79.7","83","77.5","77.4","71.0"
"30",2000,"Iowa St","77.4","71.3","70","82.6","71.1","61.2"
"31",2000,"Niagara","77.3","81.3","88","75","78.9","80.7"
"32",2000,"Cal St Nrdge","77.3","76.7","81","77.4","77.1","81.4"
"33",2000,"Arizona","77.2","79","70","81.3","72.5","82.2"
"34",2000,"LSU","77.1","67.3","67","77.6","76.5","66.4"
"35",2000,"TX El Paso","77.1","62","70","82.6","68.5","68.8"
"36",2000,"Manhattan","77","58.7","50","81.3","73.7","62.4"
"37",2000,"Wagner","77","95.7","83","78.2","76.3","66.9"
"38",2000,"Maryland","76.9","71.3","68","80.4","72.7","84.6"
"39",2000,"Delaware","76.9","72","69","79.9","74.1","77.2"
"40",2000,"St Fran (NY)","76.8","77.3","73","79.8","74.6","79.9"
"41",2000,"N Carolina","76.7","67.3","52","79","74.9","71.4"
"42",2000,"Weber St","76.7","71.3","68","80.3","73.7","79.2"
"43",2000,"Fairfield","76.6","74.3","72","82.4","73.1","78.2"
"44",2000,"S Methodist","76.6","81","82","79.5","73.6","73.4"
"45",2000,"Middle Tenn","76.4","81","60","79.1","74.1","68.1"
"46",2000,"Cal Poly","76.3","81","92","76.4","76.3","83.2"
"47",2000,"App State","76.3","72","68","85","72.2","72.9"
"48",2000,"Syracuse","76.2","66.3","72","78.8","72.0","72.0"
"49",2000,"Hawaii","76.2","85.3","100","76.3","76.0","63.8"
"50",2000,"Maine","76.2","67.3","46","82.5","72.5","79.7"
"51",2000,"Houston","76.1","73.3","69","76.2","75.9","70.9"
"52",2000,"Montana St","76","72.3","67","80.9","72.9","77.2"
"53",2000,"Illinois","76","75.7","61","82.1","69.9","61.5"
"54",2000,"Norfolk St","75.9","74","75","79.1","74.3","86.2"
"55",2000,"Oklahoma St","75.9","65.7","64","81.1","70.4","70.2"
"56",2000,"Michigan","75.9","72","66","81.3","67.5","65.6"
"57",2000,"GA Southern","75.9","74","54","81.2","72.0","62.4"
"58",2000,"UTSA","75.9","83.7","86","85","69.2","76.9"
"59",2000,"NC A&T","75.6","88.7","88","79.1","74.2","67.7"
"60",2000,"North Texas","75.6","77","84","74","76.8","71.5"
"61",2000,"UCLA","75.5","83","90","73.9","77.4","77.2"
"62",2000,"Fordham","75.5","73","48","78.1","73.1","66.1"
"63",2000,"Cleveland St","75.4","59.3","54","75.3","75.6","69.1"
"64",2000,"Oklahoma","75.3","74.3","58","78.9","71.2","70.2"
"65",2000,"Connecticut","75.3","73","70","78.4","72.4","77.3"
"66",2000,"Xavier","75.3","79.3","69","80.4","71.4","77.3"
"67",2000,"W Carolina","75.2","78.7","75","81.4","71.7","60.0"
"68",2000,"Navy","75.2","69.3","61","75.9","74.3","70.5"
"69",2000,"Oregon","75.1","81.7","83","78.1","72.2","75.1"
"70",2000,"Beth-Cook","75","74.3","66","83.2","71.1","66.3"
"71",2000,"Akron","74.9","66.3","73","77.4","72.5","75.0"
"72",2000,"Vanderbilt","74.8","68","68","80.2","66.7","72.1"
"73",2000,"Texas","74.7","80.7","65","79.1","71.1","68.4"
"74",2000,"Hofstra","74.7","75","76","77.6","72.8","66.5"
"75",2000,"Hampton","74.7","78","60","73.7","75.4","69.4"
"76",2000,"Michigan St","74.5","68.7","76","81.6","69.3","71.7"
"77",2000,"Arkansas","74.5","76.7","75","76.6","72.5","78.7"
"78",2000,"Southern","74.4","68","61","75.4","73.9","84.3"
"79",2000,"Missouri","74.4","80.7","80","75.9","72.5","71.8"
"80",2000,"Bowling Grn","74.4","72.3","56","80.4","70.5","70.0"
"81",2000,"Kent St","74.3","74","68","75.9","73.2","68.8"
"82",2000,"Colorado","74.3","67.3","35","79.8","69.6","72.3"
"83",2000,"Troy","74.3","66","75","77.8","71.5","74.6"
"84",2000,"Lafayette","74.1","74.7","87","76.7","71.9","71.3"
"85",2000,"St Johns","74.1","71","80","76.1","71.6","79.0"
"86",2000,"Purdue","74","73","66","79.6","68.8","68.5"
"87",2000,"Morehead St","74","71.7","92","79.2","70.2","75.2"
"88",2000,"Ball St","73.9","65","61","78.3","70.3","65.7"
"89",2000,"Portland St","73.9","79.3","75","78.2","70.4","78.1"
"90",2000,"Penn St","73.5","77","84","72.9","74.0","69.3"
"91",2000,"Prairie View","73.5","75.7","74","76.6","71.8","70.6"
"92",2000,"Central Conn","73.5","69.7","63","76.1","71.1","70.2"
"93",2000,"Alcorn St","73.4","78.7","60","82","69.2","75.6"
"94",2000,"Austin Peay","73.4","86.3","100","72.3","74.3","72.7"
"95",2000,"UAB","73.3","56","73","81.7","64.9","74.0"
"96",2000,"Quinnipiac","73.2","80.3","90","73.7","72.9","67.2"
"97",2000,"Creighton","73.2","66.3","57","79.2","69.1","76.0"
"98",2000,"Alab A&M","73","78","95","73.5","72.6","76.0"
"99",2000,"Pepperdine","73","68.7","65","78.3","69.9","64.5"
"100",2000,"W Michigan","73","68.3","52","80.8","67.2","70.1"
"101",2000,"Canisius","73","76.3","71","77.1","69.3","71.0"
"102",2000,"Memphis","72.9","75.7","76","77.4","67.0","76.5"
"103",2000,"California","72.9","74.3","61","74.2","71.1","72.9"
"104",2000,"LA Tech","72.8","66","58","76.5","70.6","76.2"
"105",2000,"Radford","72.6","71","71","76.1","70.9","76.8"
"106",2000,"Ohio St","72.6","75.7","66","73.2","71.7","74.9"
"107",2000,"Samford","72.3","80.3","78","74","71.5","72.6"
"108",2000,"Ohio","72.3","71","67","76.5","69.6","74.8"
"109",2000,"Miss State","72.3","68.7","53","79.4","66.0","68.9"
"110",2000,"Louisville","72.2","72","52","78.6","65.4","76.9"
"111",2000,"Montana","72.2","76.7","65","72.2","72.3","70.0"
"112",2000,"TX Southern","72.2","76","65","75","70.9","63.9"
"113",2000,"TX-Pan Am","72.2","65.7","74","72.4","72.0","72.6"
"114",2000,"Louisiana","72.2","59.7","51","76.4","69.1","67.3"
"115",2000,"Davidson","72.1","74","64","79.9","67.8","74.4"
"116",2000,"N Arizona","72.1","81.3","85","75.1","70.0","77.4"
"117",2000,"Seton Hall","72.1","69.7","64","74.7","68.8","66.2"
"118",2000,"S Utah","72","70.7","62","80.5","66.2","72.0"
"119",2000,"Elon","72","79.3","88","78.3","68.1","71.6"
"120",2000,"Alabama","71.9","62.7","59","79.5","64.3","67.0"
"121",2000,"Kansas City","71.9","66.7","54","75.3","69.6","70.2"
"122",2000,"E Washingtn","71.9","74.7","65","78.6","67.4","72.5"
"123",2000,"Arkansas St","71.9","69.3","77","79.2","66.8","72.7"
"124",2000,"New Mexico","71.8","62","43","73.2","69.7","74.2"
"125",2000,"Georgia St","71.8","78.3","80","69.1","74.3","72.9"
"126",2000,"Dayton","71.8","56.3","50","77","66.5","67.9"
"127",2000,"Oakland","71.8","91.7","86","78.1","67.3","72.7"
"128",2000,"Winthrop","71.6","85","75","79.9","65.1","68.8"
"129",2000,"Vermont","71.6","70","59","77.7","67.6","65.3"
"130",2000,"Florida Intl","71.6","69.7","60","74","68.2","69.3"
"131",2000,"Oral Roberts","71.6","69","56","72","71.3","77.5"
"132",2000,"Grambling St","71.5","74.3","81","73.2","70.6","68.9"
"133",2000,"Utah","71.5","71.3","54","79.3","62.5","71.0"
"134",2000,"Georgia","71.5","73","64","70.3","72.6","71.6"
"135",2000,"Hartford","71.5","80.3","63","69.7","72.9","68.6"
"136",2000,"Notre Dame","71.5","69.7","58","78.1","64.0","71.9"
"137",2000,"Geo Mason","71.1","69","56","74.3","68.7","73.3"
"138",2000,"Sam Hous St","71","67.7","64","70.8","71.1","70.2"
"139",2000,"San Francisco","71","60","48","73.6","68.2","63.6"
"140",2000,"Mississippi","70.9","63.3","67","75.3","66.5","76.2"
"141",2000,"NC-Grnsboro","70.9","68.3","61","71.5","70.5","65.0"
"142",2000,"Toledo","70.9","69.7","63","77.4","67.3","70.0"
"143",2000,"DePaul","70.8","61.7","49","76.2","65.1","72.7"
"144",2000,"E Michigan","70.8","74.3","51","70.5","71.0","59.6"
"145",2000,"S Illinois","70.8","63.3","56","70.2","71.2","64.7"
"146",2000,"GA Tech","70.6","73","62","73","67.9","67.3"
"147",2000,"CS Fullerton","70.6","63","65","73.6","67.8","69.0"
"148",2000,"Rider","70.5","67.3","59","73.8","68.4","73.3"
"149",2000,"W Virginia","70.5","65.3","67","72.5","68.2","66.7"
"150",2000,"Auburn","70.5","74","67","71.1","69.7","81.2"
"151",2000,"St Josephs","70.4","65","64","74.4","67.6","65.1"
"152",2000,"Rutgers","70.4","66.7","62","70.7","70.1","70.3"
"153",2000,"S Car State","70.3","73","70","75.9","67.1","64.9"
"154",2000,"Idaho St","70.3","69.7","74","72.6","68.7","63.6"
