"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Kansas","41.3","36.7","36","42.6","40.0","36.9"
"2",2000,"S Methodist","40.5","39.7","30","42.1","38.9","38.7"
"3",2000,"UTSA","39.7","43.7","38","39.7","39.7","32.7"
"4",2000,"Stanford","39","36","39","38.2","39.7","36.9"
"5",2000,"Georgetown","38.7","31","32","40.8","36.5","38.1"
"6",2000,"UNLV","38.7","35.3","39","39.9","36.2","34.0"
"7",2000,"UL Monroe","38.6","36.7","34","38.6","38.6","35.5"
"8",2000,"Central Conn","38.1","39.3","39","37.1","39.1","33.6"
"9",2000,"Iona","37.8","33.7","34","40.7","35.9","37.4"
"10",2000,"Miss Val St","37.6","37.7","34","39.1","36.9","37.5"
"11",2000,"Colorado","37.5","37","29","42.2","33.4","34.7"
"12",2000,"LSU","37.5","37","40","37.8","37.1","36.1"
"13",2000,"Michigan St","37.3","34","35","39.3","35.8","33.4"
"14",2000,"S Car State","37.2","43","45","33.4","39.3","36.2"
"15",2000,"Tennessee","37.1","38","34","38.6","35.2","35.2"
"16",2000,"Navy","37","35","28","39","34.5","39.8"
"17",2000,"Nebraska","37","34.3","39","40.8","32.6","33.0"
"18",2000,"TX Christian","36.8","34.3","31","39.6","33.4","35.4"
"19",2000,"Oklahoma St","36.8","40","45","39.9","33.4","33.2"
"20",2000,"VCU","36.7","34.3","26","36.4","37.2","34.1"
"21",2000,"Louisiana","36.6","34","32","37.4","36.0","34.9"
"22",2000,"Siena","36.5","39.3","44","36.4","36.7","34.5"
"23",2000,"DePaul","36.5","37","35","36.4","36.5","37.5"
"24",2000,"Fairfield","36.4","36.3","38","34.5","37.7","35.0"
"25",2000,"Fresno St","36.4","36.7","38","37.2","35.2","33.9"
"26",2000,"W Kentucky","36.3","36.7","31","40.4","33.9","28.9"
"27",2000,"UCSB","36.2","33.3","30","38","34.6","35.8"
"28",2000,"Clemson","36.1","32.3","25","36.4","35.6","35.4"
"29",2000,"Xavier","36.1","36","28","37.2","35.2","32.4"
"30",2000,"Indiana","36","33.7","39","37.9","33.8","32.4"
"31",2000,"GA Tech","36","35","27","37.1","34.7","33.6"
"32",2000,"E Carolina","36","37.3","41","35.8","36.1","32.0"
"33",2000,"Wyoming","35.9","33.3","34","36.5","35.5","39.6"
"34",2000,"Stetson","35.9","30","31","37.3","35.0","33.0"
"35",2000,"Winthrop","35.8","38","37","36.1","35.5","32.4"
"36",2000,"Florida","35.7","36.7","40","38.8","32.5","32.3"
"37",2000,"San Francisco","35.7","32.7","39","36.5","34.8","32.7"
