"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Temple","9.9","11.7","15","10.1","9.6","10.5"
"2",2000,"Miami (OH)","10.9","9.7","4","11.3","10.7","11.9"
"3",2000,"Bham Southern","11","11","11","11","--","--"
"4",2000,"Wisconsin","11.2","7.3","4","9.6","12.5","11.8"
"5",2000,"Butler","12","10.7","13","11.3","12.5","14.6"
"6",2000,"Troy","12.1","6.7","0","11.6","12.5","13.7"
"7",2000,"St Johns","12.4","9.3","11","11.8","13.2","13.6"
"8",2000,"WI-Milwkee","12.5","13.3","13","11.5","13.3","15.5"
"9",2000,"Detroit","12.6","11.7","12","11.8","13.2","12.3"
"10",2000,"TN Tech","12.7","14","14","12.9","12.5","15.8"
"11",2000,"U Penn","12.7","8.7","7","11.6","13.7","13.0"
"12",2000,"Oklahoma","12.7","15","13","11.4","14.2","14.5"
"13",2000,"S Methodist","12.8","13.3","11","11.9","13.8","11.8"
"14",2000,"Ohio St","12.9","13","14","12.1","14.0","14.1"
"15",2000,"Drake","12.9","12.3","12","11","14.5","17.4"
"16",2000,"St Fran (PA)","13","13.3","14","13.7","12.4","16.8"
"17",2000,"Princeton","13","11.7","13","11.2","14.3","12.0"
"18",2000,"Utah St","13","9.3","8","11.5","14.3","15.6"
"19",2000,"La Salle","13.1","11.3","9","14.1","12.5","15.1"
"20",2000,"Indiana St","13.2","12.3","11","10.8","14.8","13.2"
"21",2000,"WI-Grn Bay","13.2","14","13","11.4","14.8","12.6"
"22",2000,"Samford","13.2","8.3","15","13.2","13.3","13.4"
"23",2000,"San Jose St","13.3","16.3","21","10.8","15.1","14.3"
"24",2000,"Gonzaga","13.3","15","17","11.8","14.2","14.3"
"25",2000,"Auburn","13.3","15.3","17","12.6","14.1","12.8"
"26",2000,"Wofford","13.3","13","8","12.8","13.6","13.5"
"27",2000,"Geo Wshgtn","13.3","13.3","13","13.1","13.5","14.5"
"28",2000,"Missouri","13.3","12","14","13.4","13.2","14.6"
"29",2000,"Montana St","13.3","12","12","12.4","13.9","14.7"
"30",2000,"St Josephs","13.3","11.3","9","13.8","12.9","14.9"
"31",2000,"LA Tech","13.3","12.7","9","13.5","13.3","15.0"
"32",2000,"Santa Clara","13.4","11.3","13","12.1","14.5","14.3"
"33",2000,"Wake Forest","13.4","12.7","12","12.6","13.9","14.6"
"34",2000,"E Washingtn","13.4","9.7","8","12.2","14.2","14.9"
"35",2000,"Georgia St","13.4","10.3","15","14.1","12.8","16.4"
"36",2000,"Vermont","13.4","15.7","15","12.4","14.1","13.4"
"37",2000,"Bowling Grn","13.4","10.3","9","14.2","12.9","15.5"
"38",2000,"Hofstra","13.4","11.7","10","12.4","14.1","14.4"
"39",2000,"N Mex State","13.5","15","12","11.7","15.0","13.9"
"40",2000,"Cincinnati","13.5","11.7","12","13.6","13.4","14.5"
"41",2000,"NC-Wilmgton","13.5","13.7","9","11.8","14.8","12.9"
"42",2000,"Richmond","13.5","12","9","13.3","13.8","13.6"
"43",2000,"Marshall","13.5","10.7","10","13.8","13.3","14.6"
"44",2000,"Dartmouth","13.6","12.7","11","13.6","13.6","15.8"
"45",2000,"Nevada","13.7","9","8","12.3","15.1","17.9"
"46",2000,"Charlotte","13.7","10.7","8","12.3","14.5","13.6"
"47",2000,"Campbell","13.7","6.3","0","15","12.5","16.5"
"48",2000,"Pacific","13.7","11","14","13.5","13.9","14.5"
"49",2000,"Duke","13.7","15","17","14.6","12.7","14.7"
"50",2000,"BYU","13.8","8.3","13","13.8","13.7","17.2"
"51",2000,"Wyoming","13.8","10.7","15","12.4","14.9","15.6"
"52",2000,"Ball St","13.8","12.7","10","13.5","14.0","14.0"
"53",2000,"Col Charlestn","13.8","13.7","18","14.8","13.0","14.5"
"54",2000,"Dayton","13.9","15","21","13.5","14.3","15.6"
"55",2000,"TX-Arlington","14","14.7","16","14","13.9","16.5"
"56",2000,"Kent St","14","14","17","14","13.9","13.9"
"57",2000,"Akron","14","13","16","12.4","15.4","13.7"
"58",2000,"Geo Mason","14","13","15","12.6","15.1","14.9"
"59",2000,"Austin Peay","14","14.7","19","13.9","14.1","16.7"
"60",2000,"Weber St","14","12.3","15","13.3","14.6","15.2"
"61",2000,"Central Mich","14","11","5","12.7","15.2","16.7"
"62",2000,"Iowa St","14.1","14","15","13.1","15.3","12.7"
"63",2000,"Murray St","14.1","9.7","7","12.3","15.3","15.2"
"64",2000,"Iowa","14.1","10.7","9","14.2","14.0","17.6"
"65",2000,"Rob Morris","14.1","13.3","15","12.6","15.0","17.9"
"66",2000,"Connecticut","14.1","13.3","17","13.2","15.0","14.5"
"67",2000,"Portland","14.2","12.7","14","13.3","14.9","15.9"
"68",2000,"Miami","14.2","15.7","14","14.6","13.8","19.1"
"69",2000,"Illinois","14.2","14.3","10","12.9","15.5","17.6"
"70",2000,"Oral Roberts","14.2","13.7","14","12","15.8","15.0"
"71",2000,"Stetson","14.3","14.3","13","14.6","14.1","14.2"
"72",2000,"S Car State","14.3","14","12","14.1","14.4","16.4"
"73",2000,"Syracuse","14.3","14.7","17","13.2","16.1","16.4"
"74",2000,"James Mad","14.3","15.3","12","13.1","15.3","13.2"
"75",2000,"Denver","14.3","11.7","7","13.6","15.0","15.2"
"76",2000,"Indiana","14.3","13","17","13.3","15.5","15.3"
"77",2000,"Marist","14.3","12.7","6","14.3","14.3","13.4"
"78",2000,"Utah","14.3","12.7","8","13.4","15.4","11.5"
"79",2000,"Arizona St","14.3","12.7","9","13.7","15.2","15.1"
"80",2000,"Mercer","14.4","8.7","12","14.5","14.3","14.8"
"81",2000,"CS Fullerton","14.4","12.7","16","12.1","16.5","16.5"
"82",2000,"Drexel","14.4","16.3","15","14.9","14.2","13.4"
"83",2000,"Texas St","14.5","9.3","9","13","15.4","14.7"
"84",2000,"Colorado","14.5","14","11","12.9","15.8","15.1"
"85",2000,"N Iowa","14.5","11.7","10","14.6","14.4","15.5"
"86",2000,"Arkansas","14.5","8.3","6","15.1","13.9","14.4"
"87",2000,"Idaho St","14.5","17.3","20","13.1","15.5","16.4"
"88",2000,"Chattanooga","14.5","22.7","21","12.2","16.4","14.0"
"89",2000,"U Mass","14.5","14","13","13","15.5","13.8"
"90",2000,"Cal Poly","14.6","14.7","15","15.2","13.8","15.4"
