"","Rank","Team","1999","Last 3","Last 1","Home","Away","1998"
"1",2000,"Bham Southern","1","1","1","1","--","--"
"2",2000,"Cincinnati","0.903","0.667","0","0.933","0.875","0.818"
"3",2000,"Stanford","0.893","0.333","1","0.857","0.929","0.781"
"4",2000,"Tulsa","0.879","0.667","0","0.933","0.833","0.697"
"5",2000,"Duke","0.871","1","1","0.882","0.857","0.949"
"6",2000,"Iowa St","0.871","1","1","1","0.714","0.483"
"7",2000,"Temple","0.839","1","1","1","0.667","0.686"
"8",2000,"LSU","0.833","0.667","0","0.941","0.692","0.444"
"9",2000,"Central Conn","0.833","1","1","0.929","0.750","0.613"
"10",2000,"Syracuse","0.828","0.333","0","0.944","0.636","0.625"
"11",2000,"Utah St","0.828","1","1","0.923","0.750","0.480"
"12",2000,"Lg Beach St","0.815","0.667","0","0.917","0.733","0.444"
"13",2000,"SE Missouri","0.815","1","1","0.923","0.714","0.654"
"14",2000,"Oklahoma","0.813","0.667","0","0.882","0.733","0.656"
"15",2000,"Arizona","0.813","0.667","1","0.941","0.667","0.759"
"16",2000,"Hofstra","0.8","1","1","1","0.667","0.677"
"17",2000,"Oklahoma St","0.793","0.333","0","0.933","0.643","0.667"
"18",2000,"Tennessee","0.793","0.667","0","0.938","0.615","0.700"
"19",2000,"Michigan St","0.788","1","1","1","0.632","0.868"
"20",2000,"Lafayette","0.786","1","1","0.923","0.667","0.714"
"21",2000,"Ohio St","0.786","0.667","0","0.882","0.636","0.750"
"22",2000,"Navy","0.778","0.667","0","0.867","0.667","0.720"
"23",2000,"St Johns","0.774","1","1","0.941","0.571","0.757"
"24",2000,"UNLV","0.774","1","1","0.905","0.500","0.536"
"25",2000,"Florida","0.774","0.333","0","0.938","0.600","0.710"
"26",2000,"Delaware","0.774","0.667","0","0.933","0.625","0.807"
"27",2000,"Col Charlestn","0.769","0.667","0","0.917","0.643","0.893"
"28",2000,"Maine","0.767","0.667","0","0.909","0.684","0.667"
"29",2000,"Butler","0.767","1","1","1","0.588","0.688"
"30",2000,"Louisiana","0.758","1","1","0.857","0.684","0.448"
"31",2000,"Pepperdine","0.75","0.667","0","0.917","0.650","0.567"
"32",2000,"U Penn","0.75","1","1","0.846","0.667","0.778"
"33",2000,"Oregon","0.75","1","1","0.786","0.714","0.581"
"34",2000,"Gonzaga","0.75","1","1","0.917","0.650","0.794"
"35",2000,"Bowling Grn","0.75","0.667","0","1","0.588","0.630"
"36",2000,"Siena","0.742","0.667","0","0.882","0.571","0.807"
"37",2000,"Texas","0.742","0.667","0","0.929","0.588","0.594"
"38",2000,"Dayton","0.733","0.333","0","0.867","0.600","0.393"
"39",2000,"Sam Hous St","0.731","0.667","0","0.889","0.647","0.360"
"40",2000,"Kent St","0.731","0.333","0","0.909","0.600","0.750"
"41",2000,"Maryland","0.727","0.667","0","0.944","0.467","0.818"
"42",2000,"Fresno St","0.727","1","1","0.79","0.643","0.625"
"43",2000,"Connecticut","0.727","0.667","0","0.813","0.647","0.944"
"44",2000,"LA Tech","0.724","0.333","0","0.909","0.611","0.679"
"45",2000,"Ball St","0.724","1","1","0.846","0.625","0.577"
"46",2000,"Creighton","0.719","1","1","0.769","0.684","0.710"
"47",2000,"App State","0.714","1","1","0.889","0.632","0.692"
"48",2000,"Indiana","0.714","0.333","0","0.867","0.539","0.677"
"49",2000,"S Methodist","0.714","0","0","0.857","0.571","0.500"
"50",2000,"Utah","0.714","0.667","0","1","0.385","0.839"
"51",2000,"Indiana St","0.71","0.667","0","0.923","0.556","0.536"
"52",2000,"Murray St","0.71","0.667","0","0.833","0.632","0.813"
"53",2000,"Kansas","0.71","0.667","0","0.867","0.563","0.688"
"54",2000,"Auburn","0.71","0.667","0","0.941","0.429","0.879"
"55",2000,"Illinois","0.7","0.667","0","0.867","0.533","0.438"
"56",2000,"St Bonavent","0.7","0.667","0","0.846","0.588","0.483"
"57",2000,"Kentucky","0.7","0.667","0","1","0.438","0.757"
"58",2000,"N Mex State","0.7","0.667","0","0.857","0.563","0.700"
"59",2000,"James Mad","0.69","0.667","0","1","0.438","0.593"
"60",2000,"Purdue","0.69","0.333","0","0.857","0.533","0.618"
"61",2000,"Seton Hall","0.69","0.333","0","0.813","0.539","0.483"
"62",2000,"Missouri St","0.688","0.667","0","0.813","0.563","0.667"
"63",2000,"Winthrop","0.68","1","1","0.909","0.500","0.704"
"64",2000,"Marshall","0.679","0.667","0","0.846","0.533","0.560"
"65",2000,"Miami","0.677","0.667","0","0.688","0.667","0.767"
"66",2000,"San Francisco","0.667","0.333","0","0.714","0.615","0.379"
"67",2000,"Iona","0.667","1","1","0.75","0.611","0.517"
"68",2000,"S Alabama","0.667","0.667","0","0.857","0.500","0.393"
"69",2000,"Jksnville St","0.667","0.667","1","0.692","0.636","0.261"
